"","AuthorIdsOrder","AuthorNamesOrder","Year","PaperId"
"1","2043760518; 2151755754; 2082851248; 2133613549; 132408287; 1987580315","Gustavo Soriano Pignataro; André Elias Junqueira; Fabio Teruo Matsunaga; Marcelo Hide Matsumoto; João Carlos Belloti; Marcel Jun Sugawara Tamaoki",2015,1045464838
"2","1986241574; 2623593667; 2077070727; 164040429; 2121314384; 1967767072","Christine Tardif; Andreas Schäfer; Robert Trampel; Arno Villringer; Robert Turner; Pierre-Louis Bazin",2016,1168767242
"3","2036492923; 549320065; 1972264732; 2597411000; 2601832363; 2609325576; 1926740292; 2608654600","Kevin Moulin; Pierre Croisille; Thorsten Feiweier; Benedicte M Delattre; Hongjiang Wei; Benjamin Robert; Olivier Beuf; Magalie Viallon",2015,12021418
"4","2481862173; 2678248252; 2716389099","P Kukolowicz; W Bulski; P Ulkowski",2015,1220364653
"5","2122554184; 1966423958; 2607587638; 2328792393; 2236535711; 2126031747; 2302634117; 2031420507; 2434388080; 991865888; 2628567750; 2162390535","Chikara Noda; Gregory Hundley; David A. Bluemke; Joao A.C. Lima; Bharath Ambale Venkatesh; Yoshiaki Ohyama; Chia-Ying Liu; Elzbieta Chamera; Alban Redheuil; Gisela Teixido-Tura; Atul Chugh; Colin O. Wu",2015,125653170
"6","2110159509; 2335221549; 1920752682; 2142612733; 1944934803; 699372278; 2436470194; 2167389175; 209298281; 2128076407; 2776500276; 2461521957; 2036498009; 2410370624; 2052095125; 2158221570; 2585639722; 2084155318","Vassilis Vassiliou; George Lathra Mathew; Ricardo Wage; Aamir Ali; Andreas Greiser; Francisco Alpendurada; Marc R. Dweck; Dudley J. Pennell; Peter D. Gatehouse; Sanjay Prasad; Ee Ling Heng; Pranev Sharma; Evangelia Nyktari; Claire E. Raphael; Calvin Chin; Peter Drivas; Gillian Smith; Karen Symmonds",2015,129604289
"7","2198489058; 2103528305; 2555432992; 2283125820","Ralf Wieland; Karin Groth; Felix Linde; Wilfried Mirschel",2015,1458961394
"8","1971373124","Jonas Kubilius",2014,1477275442
"9","1969717945; 2051637856; 2558666900; 2112483774; 2619420414; 2157607618; 2212158930; 1559383970; 2112886189; 2012932588","Nathan S. Artz; Scott B. Reeder; William Haufe; Catherine A. Hooker; Gavin Hamilton; Tanya Wolfson; Guilherme M. Campos; Anthony Gamst; Jeffrey B. Schwimmer; Claude B. Sirlin",2015,1482049253
"10","2071862062; 2111272299; 2167507766; 2648392932; 175499406; 2005125637; 152273920; 2138774280; 2466422995; 663300502; 2609138593; 2662315507; 2704200998; 2152239342; 2632945766; 1865447515; 2526727833","Francesco Alfredo Zito; Antony Leong; Natale Pennelli; Ezio Pezzica; Vania Vezzosi; Vincenzo Ventrella; Sara Pizzamiglio; Angelo Paradiso; Ian O. Ellis; Paolo Verderio; Giovanni Simone; Vito Angione; Paola Apicella; Simonetta Bianchi; Antonio Felix Conde; Omar Hameed; Julio Ibarra",2010,1482385874
"11","2165860643; 2152612276; 2102992640; 2059225116","Ana Rita S. Valente; Luis M. T. Jesus; Andreia Hall; Margaret Leahy",2015,1482738118
"12","2150249771; 257352740; 2104406125; 2152131845; 2016458863; 1965419320; 1995191217; 2441016208; 2647084602; 2129798687; 2029487533","Cindy Q. Yao; Paul C. Boutros; John M. S. Bartlett; Cheryl Crozier; Mary Anne Quintayo; Jane Bayani; Melanie Spears; Julie Livingstone; Esther Jung; Clement Fung; V. S. Sabine",2015,1483591621
"13","1908730544; 1693861082","Bruno Audone; Ilario Marziali",2011,1485720760
"14","2133047681; 2135834786; 2133143733; 2143108722","Nathaniel T. Stevens; Ryan P. Browne; Stefan H. Steiner; R. Jock MacKay",2010,14858986
"15","2679980285","Can E. Mutlu",2015,1487615927
"16","2557642067","Thomas Steckler",2015,1488755133
"17","2693222581; 2505249349; 2778406255; 2659976880; 2123805237; 2081639706","Leonard P. Freedman; Mark C. Gibson; Stephen P. Ethier; Howard R Soule; Richard M. Neve; Yvonne Reid",2015,1494237667
"18","2146354473","Christiana Soares de Freitas",2014,1494345135
"19","91475624","Lisa Chasan-Taber",2014,1496799526
"20","2107413345; 2428947557","Juan Luis Alcázar; M. J. Kudla",2011,1497079965
"21","1977230517; 291024277; 1483628523; 1517020849; 2062149567; 2107413345; 2182238364; 2303686372","S. Guerriero; Silvia Ajossa; C. Peddes; M. Perniciano; B. Soggiu; Juan Luis Alcázar; F. Sedda; G. B. Melis",2013,1497164979
"22","2714676308","Tom Schenk",2015,1499080378
"23","1986964308; 2153973550","Tom Burr; Michael S. Hamada",2015,1499994443
"24","2499657224; 2502713000","Adam Bly Presenter; Katy Ginanni Recorder",2012,1503764469
"25","2293529044; 2289267090; 2163743589; 2144950391","Cinthia de Oliveira Lisboa; Daniele Masterson; Andréa Fonseca Jardim da Motta; Alexandre Trindade Simões da Motta",2015,1509183001
"26","84167623","Ursula Rack",2015,1509516987
"27","2290542794; 106889580; 2157570437; 2090875227","Wellington P. Martins; Nick Raine-Fenning; J. C. Lima; C.O. Nastri",2011,1511059005
"28","1965495964","MaryAnne M. Gobble",2016,1512310644
