AuthorIds,AuthorNames,AuthorOrders,AuthorPapers,FoSNames,FoSPaperCounts,FoSCiteCounts,DisplayName,NormalizedName,PaperId,Rank,Doi,DocType,JournalId,ConferenceInstanceId,OriginalTitle,Year,Date,Publisher,ReferenceCount,CitationCount,EstimatedCitation,URLs,IndexedAbstract,AuthorIdsOrder,AuthorNamesOrder
1867423944; 2479611671; 2727235813,Raffaella Ravinetto; John Pringle; Grace Ku,3; 1; 2,86; 5; 2,open science; medicine; engineering ethics; research ethics; community engagement; alternative medicine,3499; 24337520; 117038; 10644; 9910; 469961,12541; 212406322; 160541; 127900; 43242; 2017161,F1000Research,f1000research,2731010563,21601,10.7490/f1000research.1114018.1,,2755217574.0,,Community engagement in humanitarian research ethics: lessons learned from the MSF Ethics Review Board,2017,2017-05-05T00:00:00.0000000,,0,0,0,https://f1000research.com/posters/6-627,,2479611671; 2727235813; 1867423944,John Pringle; Grace Ku; Raffaella Ravinetto
2007414664; 2163342400; 2517437607; 2441312371; 387893326,Claudia Koltzenburg; Konrad U. Förstner; Daniel Mietchen; Gregor Hagedorn; M. Fabiana Kubke,3; 1; 5; 2; 4,4; 54; 25; 31; 29,workflow; open science; the internet; human computer interaction; computer science,54347; 3499; 525732; 297754; 9965937,374453; 12541; 3887593; 2032877; 67146656,Nature Precedings,nature precedings,2117873657,22038,10.1038/npre.2011.6066.1,Journal,48744551.0,,Collaborative platforms for streamlining workflows in Open Science,2011,2011-06-27T00:00:00.0000000,Nature Publishing Group,5,3,3,http://dblp.uni-trier.de/db/conf/okcon/okcon2011.html#ForstnerHKKM11; http://precedings.nature.com/documents/6066/version/1; http://ceur-ws.org/Vol-739/paper_8.pdf,"Despite the internet's dynamic and collaborative nature, sci- entists continue to produce grant proposals, lab notebooks, data les,",2163342400; 2441312371; 2007414664; 387893326; 2517437607,Konrad U. Förstner; Gregor Hagedorn; Claudia Koltzenburg; M. Fabiana Kubke; Daniel Mietchen
2065581556; 2763326745; 2712822298; 2200431685; 2646911423; 2762695355; 1994242263; 2763460930; 2763135360; 2763054182; 2508306820; 2248097378; 2595305341,Catriona Manville; Maruca de Ramon; Salil Gunashekar; Sarah Parks; Molly Morgan Jones; Vilma Zotou; Calum MacLure; Benoit Vandresse; Valentina Cilli; Sebastiaan Peijl van der Peijl; Catherine A. Lichten; Louise Lepetit; Elta Smith,7; 10; 2; 3; 6; 11; 8; 12; 9; 13; 4; 5; 1,47; 1; 12; 33; 16; 1; 27; 1; 1; 1; 37; 12; 5,political science; open science; science education; engineering ethics; science technology society and environment education,3898535; 3499; 83964; 117038; 19553,9001673; 12541; 678292; 160541; 147717,,,2761223636,22650,,,,,Open Science Monitoring,2017,2017-01-01T00:00:00.0000000,European Commission,0,0,0,http://www.rand.org/pubs/external_publications/EP67274.html,,2595305341; 2763326745; 2762695355; 2763460930; 2763054182; 2712822298; 2200431685; 2508306820; 2248097378; 2646911423; 2065581556; 1994242263; 2763135360,Elta Smith; Maruca de Ramon; Vilma Zotou; Benoit Vandresse; Sebastiaan Peijl van der Peijl; Salil Gunashekar; Sarah Parks; Catherine A. Lichten; Louise Lepetit; Molly Morgan Jones; Catriona Manville; Calum MacLure; Valentina Cilli
2012647032; 2187114025; 2469223817; 2122310831; 1907586488; 2307378563,Aleksandra Nenadic; Niall Beard; Teresa K. Attwood; Carole A. Goble; Susanna-Assunta Sansone; Milo Thurston,1; 2; 6; 5; 4; 3,29; 7; 155; 521; 114; 11,anesthesiology; medical education; alternative medicine; open data; open science; medicine,12674; 285194; 469961; 7711; 3499; 24337520,81034; 768051; 2017161; 26234; 12541; 212406322,F1000Research,f1000research,2601759655,21169,10.7490/f1000research.1111409.1,,2755217574.0,,TeSS – Training Portal,2016,2016-03-11T00:00:00.0000000,,0,0,0,https://f1000research.com/posters/5-1762,,2012647032; 2187114025; 2307378563; 1907586488; 2122310831; 2469223817,Aleksandra Nenadic; Niall Beard; Milo Thurston; Susanna-Assunta Sansone; Carole A. Goble; Teresa K. Attwood
1239885676,Ann M. Kring,1,106,open data; anesthesiology; open science; alternative medicine; medicine,7711; 12674; 3499; 469961; 24337520,26234; 81034; 12541; 2017161; 212406322,F1000Research,f1000research,2733545651,21124,10.7490/f1000research.1113280.1,,2755217574.0,,Letting go of old habits and embracing new ones,2016,2016-10-11T00:00:00.0000000,,0,0,0,https://f1000research.com/slides/5-2502,,1239885676,Ann M. Kring
2065863728,Richard D. Morey,1,79,political science; pedagogy; open science,3898535; 2516128; 3499,9001673; 11463014; 12541,APS observer,aps observer,2585444751,22938,,,2764590216.0,,Habits and Open Science,2016,2016-03-31T00:00:00.0000000,,0,0,0,https://www.psychologicalscience.org/observer/habits-and-open-science,,2065863728,Richard D. Morey
1957352506; 2051088967,Frank Zenker; Erich H. Witte,2; 1,76; 56,empirical evidence; statistical inference; empirical psychology; meta analysis; statistical significance; computer science; research program; random effects model; open science; social psychology,54161; 14727; 633; 44881; 22753; 9965937; 8845; 14038; 3499; 1828652,1071063; 416264; 4712; 1842616; 491923; 67146656; 77753; 404095; 12541; 34310479,Frontiers in Psychology,frontiers in psychology,2766923622,21432,10.3389/fpsyg.2017.01847,Journal,9692511.0,,From discovery to justification: Outline of an ideal research program in empirical psychology,2017,2017-10-27T00:00:00.0000000,Frontiers,64,1,1,https://www.frontiersin.org/articles/10.3389/fpsyg.2017.01847/pdf; https://www.frontiersin.org/articles/10.3389/fpsyg.2017.01847/full; http://journal.frontiersin.org/article/10.3389/fpsyg.2017.01847/full; http://lup.lub.lu.se/record/7b4de5b6-8553-4fd7-837f-5d91c6d57579; http://portal.research.lu.se/portal/en/publications/from-discovery-to-justification(7b4de5b6-8553-4fd7-837f-5d91c6d57579).html; http://kops.uni-konstanz.de/handle/123456789/40568?locale-attribute=en,"The gold standard for an empirical science is the replicability of its research results. But the estimated average replicability rate of key-effects that top-tier psychology journals report falls between 36% and 39% (objective vs. subjective rate; Open Science Collaboration (2015)). So the standard mode of applying null-hypothesis significance testing (NHST) fails to adequately separate stable from random effects. Therefore, NHST does not fully convince as a statistical inference strategy. We argue that the replicability crisis is “home-made” because more sophisticated strategies can deliver results the successful replication of which is sufficiently probable. Thus, we can overcome the replicability crisis by integrating empirical results into genuine research programs. Instead of continuing to narrowly evaluate only the stability of data against random fluctuations (discovery context), such programs evaluate rival hypotheses against stable data (justification context).",2051088967; 1957352506,Erich H. Witte; Frank Zenker
2011200129; 2189932592; 2190236639; 2660131283,Lenny Teytelman; Brandon Stell; Larry Kane; Joshua Nicholson,4; 3; 1; 2,4; 1; 1; 14,associate professor; panel discussion; preprint; medicine; open science; open access week; peer review; media studies; library science; publishing; journal club,7623; 8151; 15675; 24337520; 3499; 563; 30892; 942434; 986947; 272751; 2222,51601; 12028; 160757; 212406322; 12541; 70; 232197; 652636; 839923; 471219; 9507,,,2193365821,25201,,,,,In broad daylight: Innovation and transparency in peer review,2015,2015-10-19T00:00:00.0000000,,0,0,0,http://d-scholarship.pitt.edu/26234/,"Independent peer review is one of the foundations of scholarship and a practice that has been in place in the academy for centuries. This panel will address innovations that promote transparency and accelerate the pace of research, such as post-publication review, open peer review, and research evaluation ethics, exploring questions such as: • Who qualifies as a peer reviewer? • What kinds of content should be reviewed? Datasets? Editorials? • What are the strengths and weaknesses of pre-publication vs. post-publication peer review? • Is open peer review integrated with the formal publication process? Does it need to be? • What concerns are there with making peer review open? Are there benefits to anonymity, for example? • How do we ensure productive and civil discourse in a public review process? • How do these innovations change the relationship between the reviewer and the author? • Is it important to address the novelty and significance of the research in the review, or should it be only about content and soundness? • What is the anticipated trajectory of these changes in peer review and how might they affect research 25 years from now? This presentation was given during Open Access Week 2015, jointly sponsored by the Carnegie Mellon University Libraries and the University Library System, University of Pittsburgh on Monday, October 19, from 4:30 - 6:00pm at the University Club, University of Pittsburgh. The panel discussion was preceded by a poster session featuring research support services offered by the University Library System. ABOUT THE PANELISTS: Jackie Smith (Moderator) is Professor of Sociology and editor, Journal of World-Systems Research. Larry Kane is Associate Professor in the Dept. of Immunology at the University of Pittsburgh. As a member of the Faculty of 1000, Dr. Kane is avid contributor to F1000Prime and F1000Research, and is an advocate for innovation in the peer review process to accelerate the dissemination of research. F1000Research (f1000research.com) is an Open Science publishing platform offering immediate publication of posters, slides and articles with no editorial bias. All articles benefit from transparent peer review and the inclusion of all source data. Josh Nicholson is the founder of The Winnower, an open scholarly publishing platform launched in 2014. The Winnower acts as a publisher and archiver for a variety of content (research,reddit AMAs, student essays, journal club proceedings, peer reviews, open letters, grants, etc.) and to-date has published over 600 articles. Nicholson received his PhD in cell biology in 2015 from Virginia Tech. He has authored numerous articles on scientific funding and publishing in addition to his research on cancer, some of which have been discussed in The Economist, The Boston Globe and other major news outlets. Brandon Stell is a neuroscientist and team leader at the French national science organization CNRS in Paris and is the President of the PubPeer Foundation. PubPeer (pubpeer.com) is an anonymous online forum for post-publication peer review where scholars can comment on any article published with a DOI. The authors of the paper are invited to engage with the commenters. Lenny Teytelman is a geneticist and computational biologist. Since 2012, he has devoted himself to creating protocols.io: a free and up-to-date central repository of life science methods. As cofounder of protocols.io Lenny brings a strong passion for sharing science and improving research efficiency through technology.",2190236639; 2660131283; 2189932592; 2011200129,Larry Kane; Joshua Nicholson; Brandon Stell; Lenny Teytelman
1193535408,Emanuel Kulczycki,1,37,public relations; multimedia; mass communication; political science; communication studies; open science; social media optimization; social media; science communication,1188794; 1018109; 2836; 3898535; 16849; 3499; 2405; 88622; 8955,8031662; 3678336; 19123; 9001673; 107320; 12541; 26750; 399558; 69968,,,2126039976,21589,10.6084/m9.figshare.899896.v1,,,,TRANSFORMATION OF SCIENCE COMMUNICATION IN THE AGE OF SOCIAL MEDIA,2013,2013-01-01T00:00:00.0000000,Teorie vědy / Theory of Science,1,2,2,http://figshare.com/articles/Transformation_of_Science_Communication_in_the_Age_of_Social_Media/899896; https://repozytorium.amu.edu.pl/handle/10593/8970; https://repozytorium.amu.edu.pl/bitstream/10593/8970/1/Transformation%20of%20Science%20Communication%20in%20the%20Age%20of%20Social%20Media.pdf,,1193535408,Emanuel Kulczycki
2134409902; 2399487307; 2760220760; 2756723318; 2404046871,Leslie Chan; Denisse Albornoz; Rebecca Hillyer; Alejandro Posada; Angela Okune,1; 3; 5; 4; 2,44; 3; 2; 2; 5,open science; narrative; computer science; world wide web; multimedia; manifesto,3499; 259675; 9965937; 638747; 1018109; 9401,12541; 1431805; 67146656; 2286559; 3678336; 84505,,,2756584945,21793,,,,2606384876.0,Co-Constructing an Open and Collaborative Manifesto to Reclaim the Open Science Narrative.,2017,2017-01-01T00:00:00.0000000,,0,0,0,http://dblp.uni-trier.de/db/conf/elpub/elpub2017.html#ChanOAPH17,,2134409902; 2404046871; 2399487307; 2756723318; 2760220760,Leslie Chan; Angela Okune; Denisse Albornoz; Alejandro Posada; Rebecca Hillyer
