Tag,PaperId,AuthorIdsOrder,AuthorNamesOrder,authorCount,unknownCount,femaleCount,femaleProp,1st,2nd,3rd,4th,5th,last,FoSNames,Year,DocType,Journal,Publisher,Doi,Title,EstimatedCitation,IndexedAbstract,WoSID,WoSjournal,jfraction,subd_name,disc_name
OpenScience,2060148929,2336768898; 2187462706; 2026582897; 2127315210,Tom Crick; Benjamin A. Hall; Samin Ishtiaq; Kenji Takeda,4,1,0,0.0,0.0,0.0,,0.0,,0.0,computer science; software; cloud computing; underpinning; incentive; artificial intelligence; workflow; machine learning; scientific modelling; data mining; management science; culture change; open science,2014,Conference,"arXiv: Computational Engineering, Finance, and Science",IEEE Computer Society,10.1109/UCC.2014.156,"""""""""Share and Enjoy"""""""": Publishing Useful and Usable Scientific Models",6,"The reproduction and replication of reported scientific results is a hot topic within the academic community. The retraction of numerous studies from a wide range of disciplines, from climate science to bioscience, has drawn the focus of many commentators, but there exists a wider socio-cultural problem that pervades the scientific community. Sharing code, data and models often requires extra effort, this is currently seen as a significant overhead that may not be worth the time investment. Automated systems, which allow easy reproduction of results, offer the potential to incentives a culture change and drive the adoption of new techniques to improve the efficiency of scientific exploration. In this paper, we discuss the value of improved access and sharing of the two key types of results arising from work done in the computational sciences: models and algorithms. We propose the development of an integrated cloud-based system underpinning computational science, linking together software and data repositories, tool chains, workflows and outputs, providing a seamless automated infrastructure for the verification and validation of scientific models and in particular, performance benchmarks.",,,,,
OpenScience,2541873369,2132901358; 2682495316; 2277750656; 344775280,Louise Bezuidenhout; Ann H. Kelly; Sabina Leonelli; Brian Rappert,4,0,3,0.75,1.0,1.0,1.0,0.0,,0.0,open science; data sharing; accountability; public relations; publics; sociology; sociology of scientific knowledge; public engagement; scientific method; open data,2017,Journal,Critical Public Health,Taylor & Francis,10.1080/09581596.2016.1252832,“$100 Is not much to you”: Open science and neglected accessibilities for scientific research in Africa,4,"AbstractThe Open Science (OS) movement promises nothing less than a revolution in the availability of scientific knowledge around the globe. By removing barriers to online data and encouraging publication in Open Access formats and Open Data archives, OS seeks to expand the role, reach and value of research. The promises of OS imply a set of expectations about what different publics hope to gain from research, how accountability and participation can be enhanced, and what makes science public in the first place. This paper presents empirical material from fieldwork undertaken in (bio)chemistry laboratories in Kenya and South Africa to examine the extent to which these ideals can be realized in a sub-Saharan context. To analyse the challenges African researchers face in making use of freely available data, we draw from Amartya Sen’s Capabilities Approach. His theorisations of ‘conversion factors’ helps to understand how seemingly minor economic and social contingencies can hamper the production and (re-)us...",WOS:000390126800005,critical public health,,,
OpenScience,1509516987,84167623,Ursula Rack,1,0,1,1.0,1.0,,,,,1.0,german; media studies; open science; meteorology; history,2015,Journal,The Polar Journal,Routledge,10.1080/2154896X.2015.1030159,"“Blizzard blowing again and considerable discomfort on board as usual.” Personal accounts of weather as scientific data, and the weather’s influence on expedition members during the Heroic Age",0,"This paper presents an historic view on diaries and correspondence; in particular, how information related to weather was personally recorded and how Antarctic weather conditions influenced the expedition members in the Heroic Age (1897–1922). The paper is based on a presentation made at the Scientific Committee on Antarctic Research Open Science Conference in Auckland 2014. In this study, diaries have been used from the German “Gauss”-Expedition (also known as the “German South Polar Expedition”), led by Erich von Drygalski and the British “Discovery”-Expedition (also known as the “British National Antarctic Expedition”), led by Robert Falcon Scott. Both expeditions were undertaken during the period from 1901 through 1904. The timeframe is of particular interest, because it is a time when the men who went south did not have reliable comparative accounts in order to adequately mentally prepare for what they were about to experience. To put the research into a wider context, there are links drawn between o...",,,,,
OpenScience,2025270381,1974829317; 2027242796,Maria Rosaria Carillo; Erasmo Papagni,2,0,1,0.5,1.0,0.0,,,,0.0,macroeconomics; open science; developing country; incentive; public economics; level of effort; economic growth; comparative statics; code of conduct; reputation; economics,2014,Journal,Economic Modelling,Elsevier,10.1016/j.econmod.2014.06.021,“Little Science” and “Big Science”: The institution of “Open Science” as a cause of scientific and economic inequalities among countries,3,"In this paper we analyse how the science sector's incentive structure strongly contributes to the development of science and of the economy, even if, in the same time, it can cause large disparities in size and productivity of scientific sectors of different countries. In order to show that, we adopt a Schumpeterian growth model where the resources allocated to science are endogenously determined within the economy and science is organised according to the institution of “Open Science”. This latter consists in a self-reinforcing code of conduct, which comprises an incentive scheme based on the priority rule, and on the presence of both real rewards and social rewards. Social rewards take two main forms according to the source concerned: one is the social reward deriving from major innovations; another consists in high reputation enjoyed by researchers who put a high level of effort into their job, and devote themselves to the advancement of science. This set of rules causes the emergence of two locally stable steady-states: a low equilibrium, where the economy is endowed with a small science sector; and a high equilibrium, where the economy has a large science sector with rapid knowledge advancement. The two equilibria can account for the huge differences currently existing between scientific sectors of more developed and less developed countries. Comparative static results further characterise the two equilibria, since monetary and social rewards have different effects according to the type of equilibrium that emerges.",WOS:000345807300006,economic modelling,1.0,Economics,Social Sciences
Reproducibility,2155922502,2678954453,Francis Beauvais,1,0,0,0.0,0.0,,,,,0.0,scientific controversy; a major; quantum cognition; reproducibility; mathematics; cognition; epistemology; statistical model,2014,Journal,Axiomathes,Springer Netherlands,10.1007/s10516-013-9220-9,“Memory of Water” Without Water: The Logic of Disputed Experiments,7,"The “memory of water” was a major international controversy that remains unresolved. Taken seriously or not, this hypothesis leads to logical contradictions in both cases. Indeed, if this hypothesis is held as wrong, then we have to explain how a physiological signal emerged from the background and we have to elucidate a bulk of coherent results. If this hypothesis is held as true, we must explain why these experiments were difficult to reproduce by other teams and why some blind experiments were so disturbing for the expected outcomes. In this article, a third way is proposed by modeling these experiments in a quantum-like probabilistic model. It is interesting to note that this model does not need the hypothesis of the “memory of water” and, nevertheless, all the features of Benveniste’s experiments are taken into account (emergence of a signal from the background, difficulties faced by other teams in terms of reproducibility, disturbances during blind experiments, and apparent “jumps of activity” between samples). In conclusion, it is proposed that the cognitive states of the experimenter exhibited quantum-like properties during Benveniste’s experiments.",WOS:000336395800007,axiomathes,1.0,Philosophy Psychology,Humanities
OpenScience,2768443735,2198096696; 2106280427; 2172047718; 2110963832; 2557853290,Daniel Schlagwein; Kieran Conboy; Joseph Feller; Jan Marco Leimeister; Lorraine Morgan,5,0,2,0.4,0.0,0.0,0.0,1.0,1.0,1.0,openness to experience; knowledge management; information technology; computer science; socioeconomics; open science; democracy,2017,Journal,Journal of Information Technology,Palgrave Macmillan UK,10.1057/s41265-017-0049-3,“Openness” with and without Information Technology: a framework and a brief history,0,"Over the past two decades, openness (e.g. ‘open’ innovation, ‘open’ education and ‘open’ strategy) has been of increasing interest for researchers and of increasing relevance to practitioners. Openness is often deeply embedded in information technology (IT) and can be both a driver for and a result of innovative IT. To clarify the concept of “openness”, we provide an overview of the scope of cross-disciplinary research on openness. Based on this overview, we develop a framework of openness, which proposes a higher-order concept of “openness” characterised by transparency, access, participation and democracy. The framework further distinguishes open resources, open processes and the effects of opening on particular domains. To provide the historical context and to appreciate the role of IT in openness, we discuss two historical examples of openness: the introduction of an open science model in academia (openness without IT) and the emergence of open source software development (openness with IT). We conclude by highlighting some concerns with and limitations of “openness”.",WOS:000415761500001,journal of information technology,1.0,Decision Support Systems,Social Sciences
OpenScience,2519957376,2182265710; 2528531571; 2133514027; 2528425586; 2609599824; 2784212033; 2272423911; 2279044343; 2203345422; 2560363658; 2605655156; 2606231921; 2529704502; 2606534792; 2613298044; 2609984810; 2607505788,Travis J. Block; Tara Holmgren; Aaron M. Horning; Sabrina Martinez-Anz; Rosemary Riggs; Thomas Vanasse; Mikaela Sifuentes; Jonathan M. Berman; Teresa M. Evans; Milos Marinkovic; Jodie Gray; Paul E. Dowell; Charlotte Anthony; Ryan Daly; LaShauna Evans; Chase Fordtran; Elizabeth Hassan,17,0,9,0.5294117647058824,0.0,1.0,0.0,1.0,1.0,1.0,outreach; preprint; medicine; library science; science education; open science,2016,Journal,F1000Research,,10.12688/f1000research.9560.1,“Science Fiesta!” Combining student-led community outreach with local culture,0,,,,,,
Reproducibility,2324727210,2527835356; 2105904255; 2326375418; 2317946330; 2322555597; 2644620514; 2568340994; 2488868927,Takashi Hoshino; Katsuhiro Ichikawa; Syouichi Terakawa; Yasuyuki Katsuma; Ichirou Fujimura; Yuuji Ueda; Youhei Miura; Kenji Nishimura,8,6,0,0.0,0.0,,,,,0.0,tomographic reconstruction; mathematics; artificial intelligence; computer vision; computed tomography; iterative reconstruction; reproducibility,2012,Journal,Nihon Hōshasen Gijutsu Gakkai zasshi,公益社団法人 日本放射線技術学会,10.6009/jjrt.2012_JSRT_68.12.1624,[Impact of iterative reconstruction on shape reproducibility of three-dimensional computed tomography].,0,,,,,,
Reproducibility,2740582100,2740812319; 2740099570; 2740714073; 2741365825; 2136509519; 1926244282; 2741657350; 2109449528; 2008762386,P. Van Brussel; M.A. Van Lavieren; D. Collard; K.P. Van Lienden; Jim A. Reekers; Jan J. Piek; R.J. De Winter; Liffert Vogt; B.J.H. van den Born,9,2,2,0.2857142857142857,0.0,0.0,,0.0,0.0,0.0,medicine; reproducibility; radiology; diabetes mellitus; hera,2017,Journal,Journal of Hypertension,,10.1097/01.hjh.0000523144.74975.0e,[OP.7A.07] FEASIBILITY AND REPRODUCIBILITY OF INTRARENAL MEASUREMENTS OF PRESSURE AND FLOW: RESULTS OF THE HERA STUDY,0,,,,1.0,Hypertension,Health Professionals
Reproducibility,2740654812,2112481453; 2740784349; 2223648638; 2623701465; 2740749324; 2228008588,Khatera Ibrahimi; Young de Graaf; Richard Draijer; A.H.J. Danser; A. Maassen-Van Den Brink; A. H. Van Den Meiracker,6,4,0,0.0,,0.0,0.0,,,,diabetes mellitus; reproducibility; internal medicine; endocrinology; medicine,2017,Journal,Journal of Hypertension,,10.1097/01.hjh.0000523724.94501.05,[PP.20.01] REPRODUCIBILITY OF DIFFERENT MEASURES OF ENDOTHELIAL FUNCTION,0,,,,1.0,Hypertension,Health Professionals
Reproducibility,2771908588,2772520160; 2346147584; 2092429533,L. Al-Mouazzen; J.R. Murray; Andrew Porteous,3,2,0,0.0,,,0.0,,,0.0,reproducibility; medicine; physical therapy,2017,Journal,Knee,,10.1016/j.knee.2017.08.012,0055 - RELIABILITY AND REPRODUCIBILITY OF THE 6 NATIONS REVISION TKR CLASSIFICATION,0,,,,1.0,Arthroscopy,Health Professionals
Reproducibility,2406493898,2780837869,Monya Baker,1,0,1,1.0,1.0,,,,,1.0,lift; engineering; engineering drawing; reproducibility,2016,Journal,Nature,Nature,10.1038/533452a,"1,500 scientists lift the lid on reproducibility",332,,,,0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013;0.012987013,Clinical Cancer Research;Protein Science;Neuroscience; Molecular & Cellular;Immunology;Macromolecules & Polymers;Oncology;Surface Science;Hospital Financial Management;Rheumatology;Organic Chemistry;Leukemia;Virology;Plant Physiology;Kidney;Pharmacology Science;Bacteriology;Marine Biology;Developmental Biology;Inorganic Chemistry;Clinical Neurophysiology;Nutrition;Fertility;Applied Optics;Molecular Cell Biology;Pharmaceutical Design;AntiMicrobial Agents;Seismology;Neurology;Psychopharmacology;Oceanography;Cardiovascular;Paleobiology;Human Molecular Genetics;Astronomy & Astrophysics;Drug Discovery;High Energy Physics;Genomics & Nucleic Acids;Pest Management Science;Stem Cells;Vision;Geology & Tectonics;GeoChemistry;Electro Analytical Chemistry;Quaternary Research;Optics & Lasers;Molecular Physics;Comparative Animal Physiology;Nanotechnology;Radiation Protection;Ecology;Molecular Biological Evolution;Proteomics;Diabetes Metabolism;Atmospheric GeoPhysics;Molecular Endocrinology;Molecular Biochemical Parasitology;Climatology;Chemistry & Material Science;Mutation; DNA Repair;Human Evolution;Space Research;Geology (International);Geophysical Science;Eye;Applied Genetics;Gut;Gene Therapy;Sociobiology;Aerospace;Drug Safety;Molecular Ecology;Cytogenetics & Genome Mapping;Paleogeography;Peptides;Sexually Transmitted Diseases;Insect Physiology;Physics; Current Developments,"Medical Specialties;Biotechnology;Brain Research;Infectious Diseases;Chemistry;Medical Specialties;Math & Physics;Health Professionals;Medical Specialties;Chemistry;Medical Specialties;Infectious Diseases;Biology;Medical Specialties;Medical Specialties;Infectious Diseases;Biology;Medical Specialties;Chemistry;Brain Research;Health Professionals;Medical Specialties;Electrical Engineering & Computer Science;Infectious Diseases;Chemistry;Infectious Diseases;Earth Sciences;Brain Research;Brain Research;Earth Sciences;Medical Specialties;Earth Sciences;Medical Specialties;Math & Physics;Health Professionals;Math & Physics;Biotechnology;Biology;Medical Specialties;Brain Research;Earth Sciences;Earth Sciences;Chemistry;Earth Sciences;Math & Physics;Chemistry;Biology;Chemistry;Medical Specialties;Biology;Biology;Biotechnology;Medical Specialties;Earth Sciences;Medical Specialties;Biology;Earth Sciences;Chemistry;Infectious Diseases;Biology;Math & Physics;Earth Sciences;Math & Physics;Medical Specialties;Biology;Medical Specialties;Infectious Diseases;Biology;Chemical, Mechanical, & Civil Engineering;Medical Specialties;Biology;Infectious Diseases;Earth Sciences;Infectious Diseases;Infectious Diseases;Biology;Math & Physics"
Reproducibility,2588558840,2096505401; 2779638173; 2166663569; 2106539668; 2657580840; 2665370978; 1988910140,Anvesha Singh; Cd Steadman; S Bekele; Jamal N Khan; Sa Nazir; P Kanagala; Gerry P. McCann,7,4,1,0.3333333333333333,,,,0.0,1.0,0.0,medicine; cardiology; reproducibility; internal medicine; stenosis; radiology,2013,Journal,European Journal of Echocardiography,,10.1093/ehjci/jet070bs,"1021Inter-study reproducibility of Feature Tracking, Single and Multi-breath-hold Tagging in severe Aortic Stenosis",0,,,,1.0,Heart Failure; Catheters,Medical Specialties
Reproducibility,2730160756,2730672816; 2726104034,Shinya Sato; Toshihiro Sawamura,2,2,0,,,,,,,,reproducibility; materials science; bubble; analytical chemistry,2012,Journal,,,10.1299/jsmetohoku.2012.48.18,107 Reproducibility Study of Bubble Motion by the Micro-bubble Generation Device,0,,,,,,
Reproducibility,2315073380,2132203485; 2400967490; 2303546325; 1219713936; 2607842831; 2608118875; 2109870780; 2524638702; 2142794424; 2096195879,Jiang He; Jing Chen; Dongfeng Gu; Lydia A. Bazzano; Jie Cao; Jianxin Li; Jichun Chen; Qi Zhao; Tanika N. Kelly; Jianfeng Huang,10,8,2,1.0,,,,1.0,,,diabetes mellitus; blood pressure; medicine; reproducibility; hydrostatic test,2012,Journal,Journal of Hypertension,,10.1097/01.hjh.0000419939.09571.67,115 REPRODUCIBILITY OF BLOOD PRESSURE RESPONSE TO COLD PRESSURE TEST: THE GENSALT STUDY,0,,,,1.0,Hypertension,Health Professionals
