journ_id,formal_name,jfraction,subd_id
1,[Chung-Hua Yen Ko Tsa Chih] Chinese Journal Of Ophthalmology,1,41
2,[Hokkaido igaku zasshi] The Hokkaido journal of medical science,1,319
3,[Nippon Koshu Eisei Zasshi] Japanese Journal Of Public Health,1,447
5,[Rinsho ketsueki] The Japanese journal of clinical hematology,1,19
6,"10th International Symposium On Integrated Circuits, Devices And Systems, Isic-2004: Integrated Systems On Silicon - Proceedings",1,66
7,11th Adipec: Abu Dhabi International Petroleum Exhibition And Conference - Conference Proceedings,1,266
8,11th Conference On Mesoscale Processes And The 32nd Conference On Radar Meteorology,1,97
9,"11th IEEE International Conference On Electronics, Circuits And Systems, Icecs 2004",1,66
10,"11th International Conference On Architectural Support For Programming Languages And Operating Systems, Asplos Xi",1,458
11,"12th IEEE International Conference On Advanced Thermal Processing Of Semiconductors, Rtp 2004",1,439
12,12th International Conference On Multiphase Production Technology '05,1,242
13,13th Conference On Interactions Of The Sea And Atmosphere,1,404
14,13th IEEE Workshop On Local And Metropolitan Area Networks (Lanman 2004),1,5
15,13th Joint Conference On The Applications Of Air Pollution Meteorology With The Air And Waste Management Association,1,404
16,14th International Conference And Exhibition On Liquefied Natural Gas,1,417
17,"15th International Conference On Microwaves, Radar And Wireless Communications, Mikon - 2004",1,65
18,16th Conference On Biometeorology And Aerobiology,1,404
19,16th Symposium On Boundary Layers And Turbulence,1,404
20,17th International Conference On Water Jetting: Advances And Future Needs,1,90
21,"18th Annual Waste Testing And Quality Assurance Symposium, Wtqa 2002 - Proceedings",1,507
22,"19th Annual Acm Conference On Object-Oriented Programming, Systems, Languages, And Applications, Oopsla'04",1,458
23,"1st International Symposium On Wireless Communication Systems 2004, Proceedings Iswcs '04",1,5
24,2000 IEEE Wireless Communications And Networking Conference,1,5
25,2001 IEEE Fourth Workshop On Multimedia Signal Processing,1,370
26,2001 IEEE Symposium On Human-Centric Computing,1,458
27,2001 IEEE Workshop On High Performance Switching And Routing,1,428
28,2001 International Conference On Computational Nanoscience - Iccn 2001,1,13
29,2001 International Conference On Modeling And Simulation Of Microsystems - Msm 2001,1,448
30,2001/2002 Tappi Technical Information Papers,1,60
31,2002 International Conference On Computational Nanoscience And Nanotechnology - Iccn 2002,1,448
32,2002 International Conference On Modeling And Simulation Of Microsystems - Msm 2002,1,448
33,"2003 IEEE Power Engineering Society General Meeting, Conference Proceedings",1,153
34,2003 International Mechanical Pulping Conference,1,332
35,2003 Nanotechnology Conference And Trade Show - Nanotech 2003,1,38
36,2003 Rcra National Meeting: Putting Resource Conservation Into Rcra,1,507
37,"2004 10th International Workshop On Computational Electronics, IEEE Iwce-10 2004, Abstracts",1,439
38,2004 11th International Conference On Harmonics And Quality Of Power,1,153
39,2004 12th Symposium On Electromagnetic Launch Technology,1,92
40,2004 1st IEEE International Conference On Group Iv Photonics,1,46
41,2004 1st IEEE Lightwave Technologies In Instrumentation And Measurement Conference,1,219
42,"2004 1st IEEE Technical Exhibition Based Conference On Robotics And Automation, Proceedings, Texcra 2004",1,193
43,"2004 1st International Conference On Electrical And Electronics Engineering, Iceee",1,455
44,2004 1st International Conference On Power Electronics Systems And Applications Proceedings,1,455
45,2004 2nd IEEE International Symposium On Biomedical Imaging: Macro To Nano,1,450
46,2004 2nd International IEEE Conference 'Intelligent Systems' - Proceedings,1,526
47,2004 4th IEEE Conference On Nanotechnology,1,185
48,2004 4th IEEE International Conference On Polymers And Adhesives In Microelectronics And Photonics,1,223
49,2004 4th IEEE-Ras International Conference On Humanoid Robots,1,193
50,"2004 4th International Conference On Microwave And Millimeter Wave Technology, Icmmt 2004",1,65
51,"2004 4th International Crimean Conference: Microwave And Telecommunication Technology - Conference Proceedings, Crimico'04",1,65
52,"2004 4th Workshop On Applications And Services In Wireless Networks, Aswn",1,5
53,2004 5th Asian Control Conference,1,96
54,"2004 7th International Conference On Signal Processing Proceedings, Icsp",1,409
55,"2004 8th International Conference On Control, Automation, Robotics And Vision (Icarcv)",1,433
56,"2004 9th IEEE Singapore International Conference On Communication Systems, Iccs",1,5
57,"2004 Aiche Spring Meeting, Conference Proceedings",1,417
58,"2004 Aiche Spring National Meeting, Conference Proceedings",1,417
59,"2004 Annual Meeting - Technical And Symposium Papers, American Society Of Heating, Refrigerating And Air-Conditioning Engineers",1,416
60,2004 Asia-Pacific Radio Science Conference - Proceedings,1,65
61,2004 Computing Frontiers Conference,1,280
62,"2004 First Annual IEEE Communications Society Conference On Sensor And Ad Hoc Communications And Networks, IEEE Secon 2004",1,428
63,2004 IEEE 11th Digital Signal Processing Workshop And 2nd IEEE Signal Processing Education Workshop,1,5
64,2004 IEEE Conference On Cybernetics And Intelligent Systems,1,526
65,"2004 IEEE Conference On Robotics, Automation And Mechatronics",1,193
66,"2004 IEEE Information Theory Workshop - Proceedings, Itw",1,299
67,"2004 IEEE International Conference On Computational Intelligence For Measurements Systems And Applications, Cimsa",1,70
68,2004 IEEE International Conference On Mobile Ad-Hoc And Sensor Systems,1,428
69,2004 IEEE International Conference On Multimedia And Expo (Icme),1,136
70,"2004 IEEE International Symposium On Cluster Computing And The Grid, Ccgrid 2004",1,428
71,2004 IEEE International Symposium On Performance Analysis Of Systems And Software,1,280
72,2004 IEEE International Workshop On Biomedical Circuits And Systems,1,450
73,"2004 IEEE International Workshop On Imaging Systems And Techniques, Ist",1,370
74,2004 IEEE Pes Power Systems Conference And Exposition,1,398
75,2004 IEEE Power Engineering Society General Meeting,1,398
76,"2004 IEEE Symposium On Virtual Environments, Human-Computer Interfaces And Measurement Systems, Vecims",1,136
77,2004 IEEE Systems And Information Engineering Design Symposium,1,434
78,"2004 IEEE Workshop On Ip Operations And Management Proceedings, Ipom 2004: Self-Measurement And Self-Management Of Ip Networks And Services",1,428
79,2004 IEEE/Leos - Workshop On Advanced Modulation Formats,1,219
80,2004 IEEE/Oes Autonomous Underwater Vehicles,1,382
81,2004 IEEE/Pes Transmission And Distribution Conference And Exposition: Latin America,1,398
82,2004 IEEE/Rsj International Conference On Intelligent Robots And Systems (Iros),1,193
83,2004 IEEE/Sarnoff Symposium On Advances In Wired And Wireless Communication,1,5
84,2004 International Chemical Recovery Conference,1,480
85,"2004 International Conference On Communications, Circuits And Systems",1,5
86,"2004 International Conference On Integrated Circuit Design And Technology, Icicdt",1,439
87,"2004 International Conference On Power System Technology, Powercon 2004",1,398
88,2004 International Conference On Probabilistic Methods Applied To Power Systems,1,398
89,"2004 International Conference On Signal Processing And Communications, Spcom",1,5
90,"2004 International Siberian Workshop On Electron Devices And Materials Proceedings 5th Annual, Edm'2004",1,253
91,2004 International Symposium On Chinese Spoken Language Processing - Proceedings,1,186
92,"2004 International Symposium On Intelligent Multimedia, Video And Speech Processing, Isimp 2004",1,136
93,2004 International Symposium On System-On-Chip Proceedings,1,121
94,"2004 International Symposium On Technology And Society, Istas '04 Globalizing Technological Education",1,446
95,"2004 International Symposium On Underwater Technology, Ut'04 - Proceedings",1,382
96,"2004 International Workshop On Ultra Wideband Systems; Joint With Conference On Ultra Wideband Systems And Technologies, Joint Uwbst And Iwuwbs 2004",1,5
97,2004 International Workshop On Wireless Ad-Hoc Networks,1,118
98,2004 Itg Workshop On Smart Antennas - Proceedings,1,5
99,"2004 Joint Conference Of The 10th Asia-Pacific Conference On Communications And The 5th International Symposium On Multi-Dimensional Mobile Communications Proceedings, Apcc/Mdmc'04",1,5
100,2004 Large Engineering Systems Conference On Power Engineering - Conference Proceedings; Theme: Energy For The Day After Tomorrow,1,398
101,2004 Nsti Nanotechnology Conference And Trade Show - Nsti Nanotech 2004,1,448
102,"2004 Rf And Microwave Conference, Rfm 2004 - Proceedings",1,65
103,"2004 Second International Workshop, Ultrawideband And Ultrashort Impulse Signals Proceedings, Uwbusis 2004",1,65
104,"2004 Semiconductor Manufacturing Technology Workshop Proceedings, Smtw",1,439
105,2004 Sensor Array And Multichannel Signal Processing Workshop,1,5
