AuthorIdsOrder,PaperId,namePart.1,namePart.2,namePart.3,namePart.4,Year2,authorOrder,min_years,max_years,proportion_male.x,proportion_female.x,gender.x,year_max.x,proportion_male.y,proportion_female.y,gender.y,year_max.y,proportion_male,proportion_female,gender,year_max,temp2,temp1,temp0,femaleProb0,femaleProb,genderLabel
2678954453,2155922502,Francis,Beauvais,NA,NA,1969,1,1949,1989,0.9177,0.0823,male,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0823,NA,0.0823,0
2527835356,2324727210,Takashi,Hoshino,NA,NA,1967,1,1947,1987,1,0,male,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
2740812319,2740582100,P.,Van,Brussel,NA,1972,1,1952,1992,NA,NA,NA,NA,0.9228,0.0772,male,1992,NA,NA,NA,NA,NA,0.0772,NA,0.0772,0.0772,0
2112481453,2740654812,Khatera,Ibrahimi,NA,NA,1972,1,1952,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2772520160,2771908588,L.,Al-Mouazzen,NA,NA,1972,1,1952,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2780837869,2406493898,Monya,Baker,NA,NA,1971,1,1951,1991,0,1,female,1991,1,0,male,1991,NA,NA,NA,NA,NA,NA,1,NA,1,1
2096505401,2588558840,Anvesha,Singh,NA,NA,1968,1,1948,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2730672816,2730160756,Shinya,Sato,NA,NA,1967,1,1947,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2132203485,2315073380,Jiang,He,NA,NA,1967,1,1947,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2148096997,2127084935,Lidiane,Lima,Florencio,NA,1967,1,1947,1987,NA,NA,NA,NA,NA,NA,NA,NA,1,0,male,1987,NA,NA,NA,NA,NA,NA
2427762568,2049153370,S.,Koch,NA,NA,1966,1,1946,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2125821477,2007935862,S.,van,Beek,NA,1966,1,1946,1986,NA,NA,NA,NA,0.9428,0.0572,male,1986,NA,NA,NA,NA,NA,0.0572,NA,0.0572,0.0572,0
2124253489,2330094619,Matthew,S.,Christman,NA,1967,1,1947,1987,0.995,0.005,male,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,NA,0.005,0
2200250362,1968995847,M.,Kruszyna,NA,NA,1966,1,1946,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
