AuthorIdsOrder,PaperId,namePart.1,namePart.2,namePart.3,namePart.4,Year2,authorOrder,min_years,max_years,proportion_male.x,proportion_female.x,gender.x,year_max.x,proportion_male.y,proportion_female.y,gender.y,year_max.y,proportion_male,proportion_female,gender,year_max,temp2,temp1,temp0,femaleProb0,femaleProb,genderLabel
2336768898,2060148929,Tom,Crick,NA,NA,1969,1,1949,1989,0.9976,0.0024,male,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0024,NA,0.0024,0
2132901358,2541873369,Louise,Bezuidenhout,NA,NA,1972,1,1952,1992,0.0106,0.9894,female,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9894,NA,0.9894,1
84167623,1509516987,Ursula,Rack,NA,NA,1970,1,1950,1990,0,1,female,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1
1974829317,2025270381,Maria,Rosaria,Carillo,NA,1969,1,1949,1989,0.0077,0.9923,female,1989,0,1,female,1989,NA,NA,NA,NA,NA,1,0.9923,1,0.9923,1
2198096696,2768443735,Daniel,Schlagwein,NA,NA,1972,1,1952,1992,0.9945,0.0055,male,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0055,NA,0.0055,0
2182265710,2519957376,Travis,J.,Block,NA,1971,1,1951,1991,0.9918,0.0082,male,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0082,NA,0.0082,0
2439047353,1910952613,Andrew,P.,Rees,NA,1970,1,1950,1990,0.9947,0.0053,male,1990,NA,NA,NA,NA,1,0,male,1990,NA,NA,0.0053,NA,0.0053,0
2051689781,2547880330,R.,Cameron,Craddock,NA,1971,1,1951,1991,NA,NA,NA,NA,0.9171,0.0829,male,1991,NA,NA,NA,NA,NA,0.0829,NA,0.0829,0.0829,0
2104469246,2469663488,Christiana,N.,Fogg,NA,1971,1,1951,1991,0,1,female,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1
2513899240,2739580300,Nadine,Walger,NA,NA,1972,1,1952,1992,6e-4,0.9994,female,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9994,NA,0.9994,1
2679827961,2608357851,Marsha,Wilcox,NA,NA,1972,1,1952,1992,0.0026,0.9974,female,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9974,NA,0.9974,1
1985647810,2470085208,Sundeep,Teki,NA,NA,1971,1,1951,1991,0.9747,0.0253,male,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0253,NA,0.0253,0
2421375514,1970200167,Michael,Hanke,NA,NA,1970,1,1950,1990,0.9944,0.0056,male,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0056,NA,0.0056,0
2137679054,2624733528,Juan,Antonio,Vizcaíno,NA,1972,1,1952,1992,0.9886,0.0114,male,1992,0.9876,0.0124,male,1992,NA,NA,NA,NA,NA,0.0124,0.0114,0.0124,0.0114,0
322676148,1983663411,Natasha,Pavlovikj,NA,NA,1969,1,1949,1989,0.0039,0.9961,female,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9961,NA,0.9961,1
2538499870,2001950963,James,Butcher,NA,NA,1969,1,1949,1989,0.9951,0.0049,male,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0049,NA,0.0049,0
2172557881,2040909957,Craig,R.,McClain,NA,1969,1,1949,1989,0.9962,0.0038,male,1989,NA,NA,NA,NA,1,0,male,1989,NA,NA,0.0038,NA,0.0038,0
2208809082,1968788362,Anand,Padmanabhan,NA,NA,1966,1,1946,1986,1,0,male,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
2697378851,2165576411,Antonella,Fresa,NA,NA,1968,1,1948,1988,0,1,female,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1
1973113305,2267141950,Yann,Joly,NA,NA,1971,1,1951,1991,1,0,male,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
1964182977,2156608586,Daniel,O'Donovan,NA,NA,1967,1,1947,1987,0.9949,0.0051,male,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0051,NA,0.0051,0
92389296,1970121563,Harlan,M.,Krumholz,NA,1968,1,1948,1988,1,0,male,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
2295739579,1993007054,Kenar,D.,Jhaveri,NA,1969,1,1949,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2126819090,2752996249,Guillermo,B.,Willis,NA,1972,1,1952,1992,0.9959,0.0041,male,1992,NA,NA,NA,NA,0.9925,0.0075,male,1992,NA,NA,0.0041,NA,0.0041,0
