"Tag","PaperId","AuthorIdsOrder","AuthorNamesOrder","FoSNames","Year","DocType","DisplayName","Publisher","Doi","OriginalTitle","EstimatedCitation","IndexedAbstract"
"Reproducibility",2325177196,"2320257111","S.H. Berner","cadaver; medicine; radiography; reproducibility; surgery; radiology",2006,"Journal",NA,NA,"10.1016/S1551-7977(08)70092-X","A Cadaver Model to Evaluate the Accuracy and Reproducibility of Plain Radiograph Step and Gap Measurements for Intra-Articular Fracture of the Distal Radius",0,NA
"Reproducibility",2012047325,"2691205855","Wayne E. Hensley","psychology; source credibility; social psychology; reproducibility; criticism",1974,"Journal","Communication Monographs","Taylor & Francis Group","10.1080/03637757409375851","A criticism of “dimensions of source credibility: A test for reproducibility”",2,NA
"Reproducibility",2733058137,"2572492543; 2776847356; 2779323030; 2780511777","S.A. Rivkees; D.A. Hall; P.A. Boepple; J.D. Crawford","pathology; reproducibility; medicine",1987,"Journal","The Journal of Urology",NA,"10.1016/S0022-5347(17)43708-6","Accuracy and Reproducibility of Clinical Measures of Testicular Volume",1,NA
"Reproducibility",2284191284,"2087863783","Richard R J Cousley","orthodontics; reproducibility; medicine",2015,"Journal","Journal of Orthodontics","Taylor & Francis","10.1080/14653125.2015.1122915","Accuracy and Reproducibility Of Linear Measurements Of Resin, Plaster, Digital and Printed Study-Models",0,NA
"OpenScience",2024986130,"705885879; 2114464965; 2267980870","Amye Kenall; Simon Harold; Christopher Foote","data sharing; open data; ecology and evolutionary biology; open science; entomology; biology; evolutionary biology",2014,"Journal","BMC Evolutionary Biology","BioMed Central Ltd","10.1186/1471-2148-14-66","An open future for ecological and evolutionary data",2,"As part of BioMed Central’s open science mission, we are pleased to announce that two of our journals have integrated with the open data repository Dryad. Authors submitting their research to either BMC Ecology or BMC Evolutionary Biology will now have the opportunity to deposit their data directly into the Dryad archive and will receive a permanent, citable link to their dataset. Although this does not affect any of our current data deposition policies at these journals, we hope to encourage a more widespread adoption of open data sharing in the fields of ecology and evolutionary biology by facilitating this process for our authors. We also take this opportunity to discuss some of the wider issues that may concern researchers when making their data openly available. Although we offer a number of positive examples from different fields of biology, we also recognise that reticence to data sharing still exists, and that change must be driven from within research communities in order to create future science that is fit for purpose in the digital age."
"Reproducibility",2100555847,"705885879; 1976589559; 2412316283; 2132292370; 2497373859; 2160563883; 2505586523","Amye Kenall; Scott Edmunds; Laurie Goodman; Liz Bal; Louisa Flintoft; Daniel R Shanahan; Tim Shipley","research design; checklist; reproducibility; genetics; biology; replicate; bioinformatics",2015,"Journal","Genome Biology","BioMed Central","10.1186/s13059-015-0710-5","Better reporting for better research: a checklist for reproducibility",4,"How easy is it to reproduce or replicate the findings of a published paper? In 2013 one researcher, Phil Bourne, asked just this. How easy would it be to reproduce the results of a computational biology paper? [1]. The answer: 280 hours. Such a number is surprising, given the theoretical reproducibility of computational research and given Bourne was attempting to reproduce work done in his own lab. Now at the National Institutes of Health (NIH) as Associate Director of Data Sciences, Bourne is concerned with the reproducibility of all NIH funded work, not just his own—and the problem is large. In addition to work in computational biology (which theoretically should be more easily reproducible than “wet lab” work), hallmark papers in cancer through to psychology have been flagged as largely unreproducible [2, 3]. Closer to home, GigaScience has carried out similar work to quantify reproducibility in their content. Despite being scrutinized and tested by seven referees, it still took about half a man-month worth of resources to reproduce the results reported in just one of the tables [4]. “Reproducibility” is now increasingly on the radar of funders and is making its rounds in the wider media as well, with concerns of reproducibility making headlines at The Economist [5] and New York Times [6], amongst other outlets."
"Reproducibility",1990981932,"705885879; 1976589559; 2412316283; 2132292370; 2497373859; 2160563883; 2505586523","Amye Kenall; Scott Edmunds; Laurie Goodman; Liz Bal; Louisa Flintoft; Daniel R Shanahan; Tim Shipley","checklist; reproducibility; bioinformatics; computer science; replicate",2015,"Journal","GigaScience","BioMed Central Ltd","10.1186/s13742-015-0071-8","Better reporting for better research: a checklist for reproducibility",4,"How easy is it to reproduce or replicate the findings of a published paper? In 2013 one researcher, Phil Bourne, asked just this. How easy would it be to reproduce the results of a computational biology paper? [1]. The answer: 280 hours. Such a number is surprising, given the theoretical reproducibility of computational research and given Bourne was attempting to reproduce work done in his own lab. Now at the National Institutes of Health (NIH) as Associate Director of Data Sciences, Bourne is concerned with the reproducibility of all NIH funded work, not just his own—and the problem is large. In addition to work in computational biology (which theoretically should be more easily reproducible than “wet lab” work), hallmark papers in cancer through to psychology have been flagged as largely unreproducible [2, 3]. Closer to home, GigaScience has carried out similar work to quantify reproducibility in their content. Despite being scrutinized and tested by seven referees, it still took about half a man-month worth of resources to reproduce the results reported in just one of the tables [4]. “Reproducibility” is now increasingly on the radar of funders and is making its rounds in the wider media as well, with concerns of reproducibility making headlines at The Economist [5] and New York Times [6], amongst other outlets."
"Reproducibility",2620737572,"2420897258; 2040367464; 2022178797","Matti T. J. Heino; Eiko I. Fried; Etienne P. LeBel","reproducibility; social psychology; psychology; complex systems",2017,"Journal","Frontiers in Psychology","Frontiers","10.3389/fpsyg.2017.01004","Commentary: Reproducibility in Psychological Science: When Do Psychological Phenomena Exist?",0,NA
"Reproducibility",2034972036,"2667069942","Harvey J. Motulsky","data science; statistical hypothesis testing; computer science; standard error; reproducibility; text mining; data mining",2015,"Journal","Pharmacology Research & Perspectives","Pharmacol Res Perspect","10.1002/prp2.93","Common misconceptions about data analysis and statistics",8,"Ideally, any experienced investigator with the right tools should be able to reproduce a finding published in a peer-reviewed biomedical science journal. In fact, the reproducibility of a large percentage of published findings has been questioned. Undoubtedly, there are many reasons for this, but one reason may be that investigators fool themselves due to a poor understanding of statistical concepts. In particular, investigators often make these mistakes: (1) P-Hacking. This is when you reanalyze a data set in many different ways, or perhaps reanalyze with additional replicates, until you get the result you want. (2) Overemphasis on P values rather than on the actual size of the observed effect. (3) Overuse of statistical hypothesis testing, and being seduced by the word “significant”. (4) Overreliance on standard errors, which are often misunderstood."
"Reproducibility",1971489609,"2633604498","Harvey Motulsky","statistics; standard error; statistical hypothesis testing; medicine; reproducibility",2014,"Journal","Naunyn-schmiedebergs Archives of Pharmacology","Naunyn Schmiedebergs Arch Pharmacol","10.1007/s00210-014-1037-6","Common misconceptions about data analysis and statistics",14,"Ideally, any experienced investigator with the right tools should be able to reproduce a finding published in a peer-reviewed biomedical science journal. In fact, the reproducibility of a large percentage of published findings has been questioned. Undoubtedly, there are many reasons for this, but one reason maybe that investigators fool themselves due to a poor understanding of statistical concepts. In particular, investigators often make these mistakes: 1. P-Hacking. This is when you reanalyze a data set in many different ways, or perhaps reanalyze with additional replicates, until you get the result you want. 2. Overemphasis on P values rather than on the actual size of the observed effect. 3. Overuse of statistical hypothesis testing, and being seduced by the word “significant”. 4. Overreliance on standard errors, which are often misunderstood."
"Reproducibility",2058618110,"2768209340","Emilie Marcus","genetics; reproducibility; transparency; knowledge management; credibility; biology",2014,"Journal","Molecular Cell","Elsevier","10.1016/j.molcel.2014.11.012","Credibility and reproducibility.",1,"Credibility is everything for science, and it is built over time in both obvious and subtle ways. It is how we interact with colleagues and collaborators. It is how generously and openly we share reagents and how we mentor students and postdocs. It is how we review each other’s papers, and it is how we credit others' work. It is the way we educate and inform the public that funds us. It is the way we document and store our data. And it is the rigor, transparency, and attention we invest in designing, conducting, and reporting experiments."
"Reproducibility",2059692560,"1293640941; 2028454606; 666554414; 2161285743","Rodolfo Montironi; Marina Scarpelli; Antonio Lopez-Beltran; Liang Cheng","pathology; medicine; reproducibility",2009,"Journal","European Urology","Eur Urol","10.1016/j.eururo.2008.04.075","Editorial Comment on: Cytological Punctures in the Diagnosis of Renal Tumours: A Study on Accuracy and Reproducibility",0,NA
"Reproducibility",1972790144,"2466989213","Eric Meuleman","medicine; reproducibility; urology",2007,"Journal","European Urology","Eur Urol","10.1016/j.eururo.2007.01.076","Editorial Comment on: The Immediate and 6-mo Reproducibility of Pressure–Flow Studies in Men with Benign Prostatic Enlargement",0,NA
"Reproducibility",2064016264,"2577662909","Keith Snell","reproducibility; analytical chemistry; materials science",1988,"Journal","Nature","Nature Publishing Group","10.1038/334559c0","Evidence of non-reproducibility",0,NA
"Reproducibility",1994937871,"2704818539","Jeanclare Seagrave","analytical chemistry; materials science; reproducibility",1988,"Journal","Nature","Nature Publishing Group","10.1038/334559a0","Evidence of non-reproducibility",4,NA
"Reproducibility",2605527249,"2522234740; 2401913112","Kazuo Sano; Hiromitsu Ishii","physics; computer vision; artificial intelligence; reproducibility",2002,"Journal","Journal of The Illuminating Engineering Institute of Japan","一般社団法人 照明学会","10.2150/jieij1980.86.2_67","Identification of Coloring Agents Causing Poor Coloring Reproducibility in Computerized Color Matching",0,NA
