AuthorNames,FoSNames,Year,DocType,DisplayName,Doi,OriginalTitle
Raffaella Ravinetto; John Pringle; Grace Ku,open science; medicine; engineering ethics; research ethics; community engagement; alternative medicine,2017,NA,F1000Research,10.7490/f1000research.1114018.1,Community engagement in humanitarian research ethics: lessons learned from the MSF Ethics Review Board
Catriona Manville; Maruca de Ramon; Salil Gunashekar; Sarah Parks; Molly Morgan Jones; Vilma Zotou; Calum MacLure; Benoit Vandresse; Valentina Cilli; Sebastiaan Peijl van der Peijl; Catherine A. Lichten; Louise Lepetit; Elta Smith,political science; open science; science education; engineering ethics; science technology society and environment education,2017,NA,NA,NA,Open Science Monitoring
Aleksandra Nenadic; Niall Beard; Teresa K. Attwood; Carole A. Goble; Susanna-Assunta Sansone; Milo Thurston,anesthesiology; medical education; alternative medicine; open data; open science; medicine,2016,NA,F1000Research,10.7490/f1000research.1111409.1,TeSS – Training Portal
Ann M. Kring,open data; anesthesiology; open science; alternative medicine; medicine,2016,NA,F1000Research,10.7490/f1000research.1113280.1,Letting go of old habits and embracing new ones
Richard D. Morey,political science; pedagogy; open science,2016,NA,APS observer,NA,Habits and Open Science
Lenny Teytelman; Brandon Stell; Larry Kane; Joshua Nicholson,associate professor; panel discussion; preprint; medicine; open science; open access week; peer review; media studies; library science; publishing; journal club,2015,NA,NA,NA,In broad daylight: Innovation and transparency in peer review
Emanuel Kulczycki,public relations; multimedia; mass communication; political science; communication studies; open science; social media optimization; social media; science communication,2013,NA,NA,10.6084/m9.figshare.899896.v1,TRANSFORMATION OF SCIENCE COMMUNICATION IN THE AGE OF SOCIAL MEDIA
Leslie Chan; Denisse Albornoz; Rebecca Hillyer; Alejandro Posada; Angela Okune,open science; narrative; computer science; world wide web; multimedia; manifesto,2017,NA,NA,NA,Co-Constructing an Open and Collaborative Manifesto to Reclaim the Open Science Narrative.
Dmitry S. Yufit; J. A. Gareth Williams; Tanya de Sa; Raminder S. Mulla,medicine; alternative medicine; open science; anesthesiology; open data,2016,NA,F1000Research,10.7490/f1000research.1111253.1,"Design, synthesis and evaluation of potential EDTA alternatives"
Henry Sauermann; Michael Roach,wage; incentive; public relations; political science; competitive advantage; open science; publishing; sustainability; publication,2011,NA,NA,NA,Not All Scientists pay to be Scientists
Benedikt Fecher; Sascha Friesike,computer science; knowledge management; openness to experience; open science; scholarly communication; management science; web 2 0; digging,2013,NA,NA,NA,Open Science: digging deeper into the assumptions that underpin openness and Web 2.0
Martin Hammitzsch; Neil Chue Hong; Philip Wenig; Edzer Pebesma; Xenia van Edig; Andrew Hufton; Markus Neteler,computer science; open science; software engineering; software; computational science,2015,NA,European geosciences union general assembly,10.5281/zenodo.17625,Open Science goes Geo – Part II: Scientific Software
Event Coordinator,library science; medicine; media studies; open science,2013,NA,NA,NA,A/Prof Alex Holcombe
Katrina P. Jongman-Sereno; Kate J. Diebels; Mark R. Leary,media studies; psychology; open science,2015,NA,NA,NA,Open Science Supplements for Journal of Social Psychology Invited Manuscript
Alejandra López-Fuentes; Socorro Gama-Castro; Julio Collado-Vides; Hilda Solano-Liria; Fabio Rinaldi; Oscar Lithgow,open science; computational biology; alternative medicine; medicine; open data; anesthesiology,2016,NA,F1000Research,10.7490/f1000research.1111893.1,Strategies towards digital and semi-automated curation in RegulonDB
Pieter Meysman,open data; anesthesiology; medicine; open science; physiology; computational biology,2016,NA,F1000Research,10.7490/f1000research.1112653.1,Functional subgraph enrichments for node sets in interaction networks
