AuthorNames,FoSNames,Year,DocType,DisplayName,Doi,OriginalTitle
Liliana Cucu-Grosjean; Cristian Maxim; Mihail Asavoae; Adriana Gogonel; Irina Mariuca Asavoae; Walid Talaboulma,reproducibility; computer science; principle of compositionality; econometrics,2016,NA,NA,NA,Reproducibility and representativity - mandatory properties for the compositionality of measurement-based WCET estimation approaches
Marianne Waldstrøm; Dorthe Ørnskov,pathology; reproducibility; medicine,2014,NA,NA,10.1111/apm.12264,The reproducibility of the Cobas HPV Assay evaluated in a screening population of woman aged 30-65 years
Kai Lawonn; Bernhard Preim; Thomas Ertl; Michael Krone,salient; reproducibility; line integral convolution; computer vision; visualization; artificial intelligence; computer science,2015,NA,NA,10.2312/eurorv3.20151141,On the Reproducibility of Line Integral Convolution for Real-Time Illustration of Molecular Surface Shape and Salient Regions
Jesse H. Krijthe; Marco Loog,computer science; data mining; pattern recognition; machine learning; reproducibility; artificial intelligence,2016,NA,arXiv: Machine Learning,10.1007/978-3-319-56414-2_4,Reproducible Pattern Recognition Research: The Case of Optimistic SSL
Michelle R. Arkin; Stephen V. Frye; Cheryl H. Arrowsmith; Emily A. Hull-Ryde; Marcie A. Glicksman; Barbara S. Slusher; P. Jeffrey Conn,suspect; medicine; pharmacology; reproducibility; drug; drug discovery,2015,NA,Nature Reviews Drug Discovery,10.1038/nrd4737,Tackling reproducibility in academic preclinical drug discovery.
Abdel Tahari; Vasavi Paidpally; Alin Chirindel; Richard Wahl; Rathan M. Subramaniam,medicine; pet ct; reproducibility; radiology,2013,NA,NA,NA,Reproducibility of liver SULmean on two different FDG PET/CT scans
Andiara Ribeiro Roberto; José Roberto Cury Saad; Juliana Maria Capelozza Boaventura; José Maurício dos Santos Nunes Reis; Fernanda Ferreira Jassé; Carlos Henrique Braga Borges; Alessandra Nara de Souza Rastelli,surgery; medicine; dentistry; indentation hardness; reproducibility; pathology,2012,NA,International Journal of Dentistry,NA,Reproducibility of microhandeness measurements in different surfices
Petr Cermak; David Novák; Tomáš Soukup; Jiří Blahuta,computer vision; jpeg; substantia nigra; dicom; computer science; standard deviation; reproducibility; image processing; artificial intelligence; thresholding; parkinson s disease,2011,NA,NA,NA,The ROI defect statistical analysis of substantia nigra to reproducibility of designed experimental algorithm for potential Parkinson's disease diagnosis
Dmitri Geraskin; Petra Platen; Matthias Kohl-Bareis; Julia Franke; Erwin Gerz; André Steimers,reproducibility; biology; biochemistry; analytical chemistry,2013,NA,Advances in Experimental Medicine and Biology,10.1007/978-1-4614-7411-1_24,Tissue Oxygenation During Exercise Measured with NIRS: Reproducibility and Influence of Wavelengths
Pietro Mittica; Elena Vallenzasca; Maurizio Digiuni; Ruggiero Paderni; Paolo Frezzotti; Paolo Fogagnolo; Luca Rossetti,diabetes mellitus; radiology; resonance; biology; reproducibility,2012,NA,Investigative Ophthalmology & Visual Science,NA,Repeatibility And Reproducibility Of Applanation Resonance Tonometry
Davide Giacalone; Pia Ingholt Hedelund,reproducibility; econometrics; statistics; mathematics,2016,NA,NA,NA,REPRODUCIBILITY OF RATE-ALL-THAT-APPLY (RATA) WITH SEMI-TRAINED ASSESSORS
Zaiyi Liu; Yubao Liu; Dan Pan; Xin Chen; Yanqi Huang; Guangyi Wang; Changhong Liang; Lifen Yan; Lei Qin,respiratory system; breathing; radiology; computer science; reproducibility,2014,NA,NA,NA,"imaging: Reproducibility Comparison of ADC Measurements Obtained with Multiple Breath-hold, Free-breathing, Respiratory-triggered, and Navigator-triggered Techniques 1"
Rachel L. Richesson; Meredith Nahm Zozus; William Edward Hammond; Jessica D. Tenenbaum; Anita Walden,medical record; clinical research; computer science; reproducibility; data science; premise; data mining,2016,NA,NA,NA,Research Reproducibility in Longitudinal Multi-Center Studies Using Data from Electronic Health Records.
Michael Haustein; E. Spörl; Kathleen Wozniak; Lutz E. Pillunat,reproducibility; diabetes mellitus; radiology; biology,2012,NA,Investigative Ophthalmology & Visual Science,NA,Reproducibility Of New Different Pachymetric Measuring Methods
Grzegorz Surkont; Edyta Wlaźlak; Jacek Kociszewski; Maria Magdalena Dresler; Jacek Suzin,urogynecology; radiology; pathology; reproducibility; medicine; repeatability,2016,NA,Journal of Ultrasonography,10.15557/JoU.2016.0003,Urethral length measurement in women during sonographic urethrocystography – an analysis of repeatability and reproducibility
John L. Humm; Jazmin Schwartz; Heiko Schöder; Jamie E. Chaft; Sadek Nehmeh,reproducibility; medicine; radiology; nuclear medicine,2014,NA,The Journal of Nuclear Medicine,NA,Reproducibility of 18FMISO PET kinetic parameters in NSCLC
Sandra Gesing; Thomas Richard Connor; I. Taylor,reproducibility; big data; data mining; data management; software; usability; computer science; genomics; data processing; reusability,2015,NA,"arXiv: Distributed, Parallel, and Cluster Computing",NA,Genomics and Biological Big Data: Facing Current and Future Challenges around Data and Software Sharing and Reproducibility
Leslie Cope; Giovanni Parmigiani,correlation coefficient; statistics; mathematics; reproducibility,2011,NA,NA,NA,Statistical Properties of the Integrative Correlation Coefficient: a Measure of Cross-study Gene Reproducibility
Camila Pinelli; Juliana Alvares Duarte Bonini Campos; Débora Dramis Soares; Lilian Caldas Quirino; Patrícia Petromilli Nordi Sasso Garcia,reproducibility; tape measure; medicine; surgery; statistics; popliteal height,2011,NA,Brazilian Research in Pediatric Dentistry and Integrated Clinic,10.4034/pboci.v11i1.1250,Reproducibility of Static Anthropometric Measurements of Undergraduate Dental Students and Dental Stools
Hiromi Yamazawa,atmospheric dispersion modeling; chemistry; reproducibility; deposition; environmental chemistry,2017,NA,Atomic Energy Society of Japan,NA,Discussion on reproducibility of wet deposition processes of accidentally released radioactive matter using an atmospheric dispersion model
Oliver Augusto Nascimento; José Roberto Jardim; Michael E. Hyland; Patrícia Nobre; Calheiros da Silva,psychology; pediatrics; reproducibility; intraclass correlation; copd,2012,NA,NA,NA,Cultural adaptation and reproducibility of the Breathing Problems Questionnaire for use in patients with COPD in Brazil* Adaptação cultural e reprodutibilidade do Questionário para Problemas Respiratórios em pacientes portadores de DPOC no Brasil
Brandon J. George; David B. Allison; Andrew W. Brown; Kathryn A. Kaiser,publishing; energetics; social psychology; psychology; tragedy; research design; reproducibility,2016,NA,Nature,10.1038/530027a,Reproducibility: A tragedy of errors
Jonathan Koffel; Melissa L. Rethlefsen,reproducibility; data science; medicine; systematic review,2014,NA,NA,NA,Reproducibility of Search Strategies in Systematic Reviews
Colin E. Webber,radiology; reproducibility; bone mineral; materials science,2012,NA,NA,10.1007/978-1-4419-1788-1_8,Reproducibility of DXA Measurements of Bone Mineral and Body Composition: Application to Routine Clinical Measurements
Olaf Wolkenhauer; Ron Henkel; Felix Winter; Dagmar Waltemath,systems biology; computational biology; reproducibility; computer science,2013,NA,NA,10.1007/978-94-007-6803-1_10,Reproducibility of Model-Based Results in Systems Biology
