AuthorNames,FoSNames,Year,DocType,DisplayName,Doi,OriginalTitle,URLs
Lisa F. Smith; Benjamin K. Smith; Jeffrey K. Smith,applied psychology; imaging phantom; psychology; reproducibility; social psychology,2017,BookChapter,NA,10.1037/0000033-017,The reproducibility crisis in psychology: Attack of the clones or phantom menace?,NA
Martin Reinhart,applied psychology; reproducibility; psychology,2016,BookChapter,NA,10.1002/9781118865064.ch19,Reproducibility in the Social Sciences,NA
Walther Ch. Zimmerli,radiology; materials science; reproducibility,2016,BookChapter,NA,10.1002/9781118865064.ch2,Reproducibility between Production and Prognosis,NA
Ammer Kurt,analytical chemistry; biological engineering; reproducibility; medicine,2015,BookChapter,NA,10.1088/978-0-7503-1143-4ch2,The reproducibility of standard positions used for image capturing within the standard protocol for thermal imaging,NA
Harald Atmanspacher; Sabine Maasen,management science; engineering; reproducibility,2016,Book,NA,10.1002/9781118865064,"Reproducibility: Principles, Problems, Practices, and Prospects: Principles, Problems, Practices, and Prospects",NA
Irwin D. Waldman; Scott O. Lilienfeld,reproducibility; materials science; analytical chemistry,2017,BookChapter,NA,10.1002/9781119095910.ch1,Maximizing the Reproducibility of Your Research,NA
Joshua R. Polanin; Ryan T. Williams; Terri D. Pigott,reproducibility; computer science; analytical chemistry,2017,BookChapter,NA,10.1037/0000033-016,Meta-analysis and reproducibility.,NA
Alberto Pagani; Marco Spinetta; Sergio Tenucci; Bernard Ranchoux,reproducibility; repeatability; semiconductor device; reliability engineering; electronic engineering; materials science,2014,Patent,NA,NA,METHOD FOR AN IMPROVED CHECKING OF REPEATABILITY AND REPRODUCIBILITY OF A MEASURING CHAIN FOR THE QUALITY CONTROL BY MEANS OF A SEMICONDUCTOR DEVICE TESTING,NA
Frank H. Collins; Gregory R. Madey; S. M. Niaz Arifin,computer science; analytical chemistry; reproducibility,2016,BookChapter,NA,10.1002/9781118964385.ch9,Replication and Reproducibility (R&R) of ABMs,NA
Suyog H. Chandramouli; Richard M. Shiffrin,statistics; model selection; mathematics; reproducibility,2016,BookChapter,NA,10.1002/9781118865064.ch6,"Model Selection, Data Distributions, and Reproducibility",NA
Angelika Steger; Johannes Lengler,artificial intelligence; pattern recognition; mathematics; randomness; reproducibility,2016,BookChapter,NA,10.1002/9781118865064.ch15,Randomness as a Building Block for Reproducibility in Local Cortical Networks,NA
Frank H. Collins; Gregory R. Madey; S. M. Niaz Arifin,verification and validation; reproducibility; computer science; reliability engineering,2016,BookChapter,NA,10.1002/9781118964385.ch7,"Verification, Validation, Replication, and Reproducibility",NA
Erika Balsom,reproducibility; biological engineering; materials science,2017,BookChapter,NA,10.7312/bals17692-003,1. The Promise and Threat of Reproducibility,NA
Shein-Chung Chow,generalizability theory; statistics; reproducibility; psychology,2011,BookChapter,NA,10.1201/b10987-26,Generalizability/Reproducibility Probability,NA
Tomáš Sigmund,reproducibility; analytical chemistry; materials science,2017,BookChapter,NA,10.1142/9789813108974_0018,"Reproducibility, Media and Communication",NA
Kai Vogeley,social psychology; reproducibility; psychology,2016,BookChapter,NA,10.1002/9781118865064.ch17,On the Difference between Persons and Things-Reproducibility in Social Contexts,NA
