AuthorNames,FoSNames,Year,DocType,DisplayName,Doi,OriginalTitle
Claudia Koltzenburg; Konrad U. Förstner; Daniel Mietchen; Gregor Hagedorn; M. Fabiana Kubke,workflow; open science; the internet; human computer interaction; computer science,2011,Journal,Nature Precedings,10.1038/npre.2011.6066.1,Collaborative platforms for streamlining workflows in Open Science
Frank Zenker; Erich H. Witte,empirical evidence; statistical inference; empirical psychology; meta analysis; statistical significance; computer science; research program; random effects model; open science; social psychology,2017,Journal,Frontiers in Psychology,10.3389/fpsyg.2017.01847,From discovery to justification: Outline of an ideal research program in empirical psychology
Danny Lee; Jorge Batista; Shawn Patrick McKee; Constantine Dovrolis,network topology; worldwide lhc computing grid; data mining; complex network; open science; perfsonar; timeline; grid; metrics; computer science,2015,Journal,NA,10.1088/1742-6596/664/5/052027,Identifying and localizing network problems using the PuNDIT project
Jelena Zascerinska; Hariharan Ramar; Andreas Ahrens; Natalia Andreeva,knowledge management; open innovation; empirical research; higher education; openness to experience; underpinning; political science; open science; pedagogy; elaboration; distance education,2016,Journal,NA,10.17770/sie2016vol1.1488,EDUCATORS’ OPINION ON WEBINARS IN HIGHER EDUCATION
Petr Votava; Shuai Wang; Pujita Rao; Venkatesh Sriram; Ramakrishna R. Nemani; Neeraj Saini; Jia Zhang; Christopher Lee; Tsengdar J. Lee,network model; service; knowledge management; social network; proof of concept; data mining; open science; computer science; software; scientific instrument; service discovery,2015,Journal,International Journal of Web Services Research,10.4018/IJWSR.2015070102,A Trust-Powered Technique to Facilitate Scientific Tool Discovery and Recommendation
Guangyu Zou; Levent Yilmaz,social network; knowledge management; management science; social connectedness; virtual organization; exploratory research; science communication; virtual engineering; open science; computer science; open innovation,2011,Journal,Computational and Mathematical Organization Theory,10.1007/s10588-010-9068-0,Dynamics of knowledge creation in global participatory science communities: open innovation communities from a network perspective
Doug Markant; Todd M. Gureckis; Anna Coenen; Jessica B. Hamrick; John V. McDonnell; David Halpern; Patricia Angie Chan; Alexander Rich; Jay B. Martin,open science; transparency; architecture; computer science; human computer interaction; behavioural sciences; data collection; the internet,2016,Journal,Behavior Research Methods,10.3758/s13428-015-0642-8,psiTurk: An open-source framework for conducting replicable behavioral experiments online
Michael Woelfle; Paul Willis; Michael Robins; Murray N. Robertson; Piero Olliaro; Timothy N. C. Wells; Paul M. Ylioja; Katrina A. Badiola; Alice E. Williamson; Matthew H. Todd,the internet; information dissemination; open science; medical research; immunology; knowledge management; drug discovery; software; biology; drug development,2014,Journal,Parasitology,10.1017/S0031182013001121,Open source drug discovery – A limited tutorial
Charles Santhanaraju Vairappan; Jeremy A. Miller; Menno Schilthuizen; Darren J. Mann; Eleanor M. Slade,biology; wish; open science; ecology,2015,Journal,Trends in Ecology and Evolution,10.1016/j.tree.2015.03.002,Specimens as primary data: museums and ‘open science’
Sigrid Elsenbruch; Paul Enck,physiology; anesthesiology; open data; open science; medicine,2017,Journal,F1000Research,10.12688/f1000research.12435.1,The stress concept in gastroenterology: from Selye to today
Michael P. Milham; Arno Klein; R. Cameron Craddock,standardization; psychiatry; neuropsychiatry; medicine; precision medicine; neuroimaging; neuroscience; open science; biological psychiatry,2017,Journal,Depression and Anxiety,10.1002/da.22627,Clinically useful brain imaging for neuropsychiatry: How can we get there?
Peter Grindrod; Danica Vukadinovic Greetham; Michael Batty; Luís M. A. Bettencourt; Desmond J. Higham,data science; computer science; crowdsourcing; open science; interdisciplinarity; analytics,2017,Journal,Royal Society Open Science,10.1098/rsos.161063,An overview of City Analytics
Quentin Groom; Lauren Weatherdon; Ilse R. Geijzendorffer,data sharing; biodiversity; sustainability; citizen science; open data; open science; global biodiversity; data collection; environmental resource management; biology,2017,Journal,Journal of Applied Ecology,10.1111/1365-2664.12767,Is citizen science an open science in the case of biodiversity observations
Gustavo Pompermaier Garlet,dentistry; open science; engineering physics; materials science,2013,Journal,Journal of Applied Oral Science,10.1590/1678-77572013ed001,The Journal of Applied Oral Science and the open science era
Marina de Freitas; Rafael Peretti Pezzi; Guilherme Weihmann; Jan Luc dos Santos Tavares; Rafael Vasques Brandão; Renan Bohrer da Silva; Leonardo Sehn Alves; Heitor Carpes Marques Fernandes,sociology; open educational resources; open education; citizen science; social science; library science; open science; software,2017,Journal,Liinc em Revista,10.18617/liinc.v13i1.3757,Desenvolvimento de tecnologia para ciência e educação fundamentado nos preceitos de liberdade do conhecimento: o caso do Centro de Tecnologia Acadêmica | Development of technology for science and education based on open and free knowledge: the case of the Center of Academic Tecnology
