AuthorNames,FoSNames,Year,DocType,DisplayName,Doi,OriginalTitle
Roman Staniek; Andrzej Gessner,reproducibility; machine tool; engineering drawing; marking out; engineering,2012,Journal,Advances in Manufacturing Science and Technology,10.2478/v10264-012-0006-3,Evaluation of accuracy and reproducibility of the optical measuring system in cast machine tool body assessment
Lisa Samson-Fang,pathology; physical therapy; reproducibility; oropharyngeal dysphagia; medicine,2015,Journal,Developmental Medicine & Child Neurology,10.1111/dmcn.12637,Hidden gems: validity and reproducibility of measures of oropharyngeal dysphagia - secondary conclusions and contributions.
Marcus Barkowsky; Enrico Masala; Glenn Van Wallendael; Ahmed Aldahdooh,video quality; modular design; theoretical computer science; conceptual framework; computer science; coding; data mining; database; reproducibility; software; modularity,2017,Journal,SoftwareX,10.1016/j.softx.2017.09.004,Reproducible research framework for objective video quality measures using a large-scale database approach
Erkan Kalafat; Tuncay Yüce; F. Soylemez; E. Ozkavukcu; Acar Koç; A. Gokce,medicine; radiology; reproducibility; pathology,2017,Journal,Ultrasound in Obstetrics & Gynecology,10.1002/uog.18339,EP03.01: Reproducibility of the intracranial anatomy assessment during second trimester sonographic scan
Matteo Puntoni; Massimo Calabrese; Carlo Martinoli; Gabriella Baio; Alberto Tagliafico; Carlo Emanuele Neumaier; Daniele Pace,medicine; tractography; pathology; brachial plexus; radiology; reproducibility; medical physics; diffusion mri; fractional anisotropy,2011,Journal,European Radiology,10.1007/s00330-011-2100-z,Brachial plexus MR imaging: accuracy and reproducibility of DTI-derived measurements and fibre tractography at 3.0-T.
Rafał Ilow; Bożena Regulska-Ilow; Mahshid Dehghan; Andrzej Szuba; Andrew Mente; Xiaohe Zhang; Katarzyna Zatońska,physical therapy; repeatability; food frequency questionnaire; correlation coefficient; medicine; quartile; gerontology; rural area; statistics; almost all; epidemiology; reproducibility,2012,Journal,Journal of Human Nutrition and Dietetics,10.1111/j.1365-277X.2012.01240.x,"Development, reproducibility and validity of the food frequency questionnaire in the Poland arm of the Prospective Urban and Rural Epidemiological (PURE) study."
Adrian Lussi; Jonas de Almeida Rodrigues; Klaus W. Neuhaus; Rita de Cássia Loiola Cordeiro; Michele Baffi Diniz,reproducibility; orthodontics; medicine; mcnemar s test; dentistry,2010,Journal,Clinical Oral Investigations,10.1007/s00784-009-0323-z,Influence of examiner’s clinical experience on the reproducibility and accuracy of radiographic examination in detecting occlusal caries
Marcello Demi; Elisabetta Bianchini; Vincenzo Gemignani; Francesco Faita; Rosa Maria Bruno; Rosa Sicari; Lorenzo Ghiadoni; A.I. Corciu,medicine; cardiology; internal medicine; elasticity; reproducibility,2010,Journal,Artery Research,10.1016/j.artres.2010.10.085,Assessment of Carotid Elasticity in Exercise: A Reproducibility Study
Rosely Sichieri; Rosângela Alves Pereira; Márcia Gonçalves Ferreira; Regina Maria Veras Gonçalves da Silva; Neuciani Ferreira da Silva,standard deviation; reproducibility; sampling; food frequency questionnaire; statistics; calibration; quartile; medicine; relative validity,2013,Journal,Cadernos De Saude Publica,10.1590/0102-311X00120312,"Reproducibility, relative validity and calibration of a food frequency questionnaire for adults"
Berit Arheimer; Dawei Han; Christopher Hutton; Thorsten Wagener; Christopher J. Duffy; Jim E Freer,hydrology; scientific method; workflow; geology; reproducibility; software; transparency; rigour,2016,Journal,Water Resources Research,10.1002/2016WR019285,"Most computational hydrology is not reproducible, so is it really science?"
Massimo Canevacci,ethnography; social psychology; social science; aura; vision; reproducibility; rhetoric; pixel; sociology; multimedia; movie theater; architecture,2010,Journal,Psicologia & Sociedade,10.1590/S0102-71822010000100020,Aria de pixel: riprodutibilità aurática digitale
Stuart L. Graham; Alexander Klistorner; Yuyi You; Johnson Thie,optics; visual cortex; speech recognition; stimulus; reproducibility; evoked potential; psychology; repeatability; analytical chemistry,2011,Journal,Documenta Ophthalmologica,10.1007/s10633-011-9288-8,"Improving reproducibility of VEP recording in rats: electrodes, stimulus source and peak analysis"
Marie Gérardin; Marie-Blanche Valnet-Rabier; Carmine Meglio; Yannick Arimone; Jean-Paul Dutertre; Dominique Hillaire-Buys; Irène Bidault; Françoise Haramburu; Hélène Théophile; Claire Guy,reproducibility; anesthesia; causality; judgement; pharmacovigilance; cohen s kappa; medicine; statistics; alternative medicine,2015,Journal,Therapie,10.2515/therapie/2015028,Validation and Reproducibility of the Updated French Causality Assessment Method: an Evaluation by Pharmacovigilance Centres & Pharmaceutical Companies
Emer Sonnex; Richard Coulden,tracing; radiology; guideline; observer; audit; internal audit; reproducibility; medicine; ejection fraction,2014,Journal,Journal of Cardiovascular Magnetic Resonance,10.1186/1532-429X-16-S1-P372,Inter-observer variation in LV analysis in a dedicated CMR unit: the impact of audit and consensus guideline on reproducibility
Uchechukwu L. Osuagwu; Kelechi C. Ogbuehi,reproducibility; radiology; surgery; ultrasound; optometry; repeatability; microscope; medicine,2012,Journal,Clinical Ophthalmology,10.2147/OPTH.S31690,Repeatability and interobserver reproducibility of Artemis-2 high-frequency ultrasound in determination of human corneal thickness.
Benoit Borel; Serge Berthoin; Delphine Thevenet; Sophie C. Reguem; Georges Baquet; Erwan Leclair; Patrick Mucci,deoxygenation; medicine; reproducibility; diabetes mellitus; mean and predicted response; physical therapy,2010,Journal,Pediatric Exercise Science,10.1123/pes.22.2.183,Reproducibility of Measurement of Muscle Deoxygenation in Children During Exercise
Gaizka Mejuto; Jaime San Román-Quintana; Javier Yanci; Asier Los Arcos; Julio Calleja-González; David Casamichana,acceleration; sprint; statistics; simulation; psychology; football; social psychology; reproducibility,2015,Journal,Ricyde. Revista Internacional De Ciencias Del Deporte,10.5232/ricyde2015.04001,Reproducibilidad de test de aceleración y cambio de dirección en fútbol Reproducibility of test acceleration and change of direction in football
Lorenzo Ciani; Bianca Sereni; Andrea Zanobini; Marcantonio Catelani,gauge; metrology; measurement uncertainty; engineering; statistical process control; anova gauge r r; repeatability; statistics; analysis of variance; reproducibility,2016,Journal,Measurement,10.1016/j.measurement.2016.02.041,Repeatability and Reproducibility techniques for the analysis of measurement systems
Thomas Mulliez; Rudy Van den Broecke; Werner De Gersem; Annick Van Greveling; Tom Vercauteren; D. Berwouts; Liv Veldeman; Bruno Speleers; Wilfried De Neve; Vincent Remouchamps,radiology; medical physics; reproducibility; medicine; deep inspiration breath hold; instability; supine position; prone position,2015,Journal,Radiation Oncology,10.1186/s13014-014-0313-4,Reproducibility of deep inspiration breath hold for prone left-sided whole breast irradiation
Urban Wiklund; A.G. Guerci; Michael Y. Henein; George Koulaouzidis; A.S. Schmermund,internal medicine; alternative medicine; calcium; francis; physical therapy; reproducibility; medicine; cardiology,2012,Journal,Artery Research,10.1016/j.artres.2012.09.188,Calcium score reproducibility: A meta-analysis from St Francis and EBEAT trials
Adriana Gogonel; Mihail Asavoae; Cristian Maxim; Irina Mariuca Asavoae; Liliana Cucu-Grosjean,computer science; composability; principle of compositionality; convergence; real time computing; reproducibility; static timing analysis,2017,Journal,ACM Sigbed Review,10.1145/3166227.3166230,Reproducibility and representativity: mandatory properties for the compositionality of measurement-based WCET estimation approaches
