AuthorNames,FoSNames,Year,DocType,DisplayName,Doi,OriginalTitle
J. Michael Slocum,almost all; commercialization; curriculum; restructuring; basic science; open science; revenue; economics; sustainability; public relations,2012,NA,The journal of research administration,NA,"Toward a Truly ""Next"" Generation"
Pieter Meysman,open science; computational biology; open data; medicine; physiology; anesthesiology,2016,NA,F1000Research,10.7490/f1000research.1112653.1,Functional subgraph enrichments for node sets in interaction networks
Stacy Konkiel,business; open science; operations management; world wide web; altmetrics; open access week,2014,NA,Impactstory blog,NA,Schedule a free Open Access Week 2014 talk on altmetrics and Open Science
Marta Coll; Marta Albo Puigserver; Isabel Palomera; Joan Navarro,biogeochemistry; food web; pelagic zone; oceanography; ecology; sustainability; trophic level; ecosystem; environmental science; mediterranean sea; open science,2014,NA,NA,NA,Trophic dynamics of the pelagic ecosystem of the NW Mediterranean Sea: new insights considering ontogeny and season
Natalia Manola; Paolo Manghi; Pedro Príncipe,world wide web; engineering management; open science; engineering,2017,NA,NA,NA,OpenAIRE-Connect: Open Science as a Service for repositories and research communities
Paolo Budroni; Imola Dora Traub; Barbara Sánchez Solís,engineering; library science; open science,2016,NA,NA,NA,"Forschungsdaten und zeitgemäße Aufarbeitung durch Policies – 2. internationaler LEARN Workshop zum Thema ‚Forschungsdatenmanagement‘ (Wien, 6. April 2016)"
Oliver Tacke,management science; web 2 0; political science; open innovation; knowledge management; collective intelligence; open science,2010,NA,NA,10.1007/978-3-642-14481-3_4,Open Science 2.0: How Research and Education Can Benefit from Open Innovation and Web 2.0
Paola Gargiulo,open science; business; construction engineering,2015,NA,NA,NA,OpenAIRE - Open Access infrastructure for research in Europe
Gavin Simpson,open science; geography; zoology; paleontology; limnology,2017,NA,From the Bottom of the Heap,NA,Tag: model evaluation
Peter J. Gleckler; Pascale Braconnot; Veronika Eyring; João Teixeira; Pierre Friedlingstein; Bart van den Hurk; Reto Knutti,spite; data collection; climate model; weighting; simulation; open science; coupled model intercomparison project; management science; data set; geography,2013,NA,NA,NA,Climate Science for Serving Society
Kang Ning; Xiaoquan Su; Baoxing Song; Jian Xu,biology; metagenomics; open science; open data; bioinformatics; toolbox; interactive visualization,2013,NA,F1000Research,10.7490/f1000research.1093958.1,An open source interactive visualization toolbox for metagenomic sample analysis and comparison
Remedios Melero,law; political science; open science,2015,NA,NA,10.13039/501100000780,Strategically and legally H2020
