AuthorNames,FoSNames,Year,DocType,DisplayName,Doi,OriginalTitle
Heidi Laine,intrinsic value; research ethics; openness to experience; open science; data mining; open data; computer science; knowledge management; default; philosophy of science,2017,Journal,Data Science Journal,10.5334/dsj-2017-029,Afraid of Scooping – Case Study on Researcher Strategies against Fear of Scooping in the Context of Open Science
Jonas Kubilius,social psychology; knowledge management; open science; underdevelopment; psychology,2014,Journal,I-perception,10.1068/i004ir,i-Review: Sharing Code
Elliott M. Antman,data sharing; data mining; data dictionary; computer science; clinical trial; adjudication; open science; pathology; open data; publishing; demographics,2014,Journal,BMJ,10.1136/bmj.g237,Data sharing in research: benefits and risks for clinicians
Matthew Clarke; Sandra Hanks; Emma Ramsay; Katie Snape; Anthony Renwick; Ann Strydom; Elise Ruark; Nazneen Rahman; Sheila Seal; Anna Elliott,bioinformatics; open science; scripting language; remainder; fastq format; data mining; medicine; software; open data,2016,Journal,F1000Research,10.12688/f1000research.8219.1,The ICR142 NGS validation series: a resource for orthogonal assessment of NGS analysis
Graham Scott,alternative medicine; open data; open science; knowledge management; medicine,2015,Journal,F1000Research,10.12688/f1000research.6129.1,Why do we bother? Exploring biologists' motivations to share the details of their teaching practice
Łukasz Dutka; Matthew Viljoen; Bartosz Kryza; Yin Chen,cloud computing; open science; computer science; commons; data as a service; open data; world wide web; end user,2016,Journal,Procedia Computer Science,10.1016/j.procs.2016.08.294,Towards European Open Science Commons: The EGI Open Data Platform and the EGI DataHub
Christophe Hurlin; Christophe Perignon; Victoria C. Stodden,computer science; data sharing; open science; technical communication; world wide web; web page; upload; distributed computing; cloud computing; download; data mining; credibility,2012,Conference,NA,10.1109/eScience.2012.6404455,RunMyCode.org: A novel dissemination and collaboration platform for executing published computational results
Mario Torrisi; Bruce Becker; Simon J. E. Taylor; Rita Ricceri; Anastasia Anagnostou; Roberto Barbera; Adedeji O. Fabiyi,data science; database; open data; identifier; software; open science; modeling and simulation; distributed computing; computer science,2016,Conference,NA,10.1109/DS-RT.2016.35,Demonstrating Open Science for Modeling & Simulation Research
Roberto Therón; Eveline Wandl-Vogt,data visualization; computer science; open science; digital humanities; knowledge management,2016,Conference,NA,10.1145/3012430.3012630,New trends in digital humanities
Sarita Albagli; Anne Clinio; Sabryna Raychtock,open education; library science; citizen science; social science; open science; sociology,2014,Journal,Liinc em Revista,10.18617/liinc.v10i2.749,Ciência Aberta: correntes interpretativas e tipos de ação │ Open Science: interpretive trends and types of action
Yann Joly; Shawn Harmon; Timothy Caulfield,dissemination; open science; scientific progress; computer science; commercialization; bioinformatics,2012,Journal,Genome Medicine,10.1186/gm316,Open science versus commercialization: a modern research conflict?
Jeffrey N. Rouder,data management plan; computer science; data integrity; open science; data sharing; raw data; open data; data mining; scrutiny; upload,2016,Journal,Behavior Research Methods,10.3758/s13428-015-0630-z,"The what, why, and how of born-open data"
Jürgen Bajorath,data quality; management science; alternative medicine; publishing; open science; medicine; open data; big data; data sharing; text mining; software,2014,Journal,F1000Research,10.12688/f1000research.5742.1,On data sharing in computational drug discovery and the need for data notes
