AuthorNames,FoSNames,Year,DocType,DisplayName,Doi,OriginalTitle
Marek J. Kudla; Juan Luis Alcázar,radiology; cardiac cycle; sampling; reproducibility; digital image correlation; medicine; pathology,2012,Journal,Journal of Ultrasound in Medicine,10.7863/jum.2012.31.1.73,Spatiotemporal image correlation with spherical sampling and high-definition flow: new 4-dimensional method for assessment of tissue vascularization changes during the cardiac cycle: reproducibility analysis.
Kristin Yvonne Rozier; Eric Rozier,computer science and engineering; dissemination; extensibility; management science; publishing; computer science; data mining; correctness; big data; reproducibility,2014,Conference,NA,10.1109/ETHICS.2014.6893384,"Reproducibility, correctness, and buildability: the three principles for ethical public dissemination of computer science and engineering research"
Larissa Shamseer; Jason Roberts,neuro ophthalmology; transparency; pathology; reproducibility; medicine; physical therapy; alternative medicine,2015,Journal,Journal of Neuro-ophthalmology,10.1097/WNO.0000000000000219,"Transparency, reproducibility, and validation: raising the quality of reporting at the Journal of Neuro-Ophthalmology."
Marlene Ågerstrand,risk analysis; reproducibility; text mining; biology; environmental chemistry; ecotoxicity,2016,Journal,Environmental Toxicology and Chemistry,10.1002/etc.3358,In Response: Reporting recommendations to ensure reliability and reproducibility of ecotoxicity studies--A tripartite initiative.
Marije T. Elferink-Gemser; Frits G. J. Oosterveld; Irene R. Faber; M.W. Nijhuis-Van der Sanden,applied psychology; developmental psychology; reproducibility; psychology; motor skill; aptitude,2014,Journal,NA,10.14195/2182-7087_5_10,Revision of two test items of the dutch motor skills assessment measuring ball control in young table tennis players: a reproducibility and validity study
Anastasios Kollias; A. Xilomenos; E. Dimakakos; Athanassios D. Protogerou; G.S. Stergiou,diabetes mellitus; radiology; medicine; ankle; reproducibility,2011,Journal,Journal of Hypertension,10.1097/00004872-201106001-00878,SHORT TERM REPRODUCIBILITY OF AUTOMATED OSCILLOMETRIC ANKLE BRACHIAL INDEX (ABI) MEASUREMENT: PP.17.54
Xavier Jouven; Sundar Kumar; Neus Salvatella; Muriel Tafflet; Varvara Russu; Didier Carrié; Thierry Lefèvre; Philippe Garot; Olivier Darremont; Marie-Claude Morice,angiography; reproducibility; syntax; radiology; medicine,2012,Journal,Catheterization and Cardiovascular Interventions,10.1002/ccd.23443,Reproducibility and factors influencing the assessment of the SYNTAX score in the left main Xience study.
Ana M. Gutierrez-Colina; Robert R. Clancy; Eric D. Marsh; Dennis J. Dlugos; Rong Guo; Nicholas S. Abend; Huaqing Zhao,anesthesia; psychology; electroencephalography; radiology; reproducibility,2011,Journal,Journal of Clinical Neurophysiology,10.1097/WNP.0b013e31821cac0a,Interobserver Reproducibility of EEG Interpretation in Critically Ill Children
Arne Dijckmans; Gerrit Vermeir,repeatability; acoustics; soundproofing; reproducibility; mathematics,2013,Journal,Acta Acustica United With Acustica,10.3813/AAA.918623,Numerical investigation of the repeatability and reproducibility of laboratory sound insulation measurements
Antoine Collet-Billon; Benjamin Vikjær Sandholt; Robert R. Entrekin; Henrik Sillesen,ultrasound; reproducibility; radiology; medicine,2017,Journal,Ultrasound in Medicine and Biology,10.1016/j.ultrasmedbio.2017.10.018,Inter-Scan Reproducibility of Carotid Plaque Volume Measurements by 3-D Ultrasound
