"Cites","id_old","Authors","authorCount","unknownCount","femaleCount","1st","2nd","3rd","4th","5th","last","allAuthors","Title","Year","Source","dataset","ArticleURL","Type","DOI","Abstract"
"n/a","NA","Davide Sparti",1,0,0,0,"NA","NA","NA","NA",0,0,"'Che tipo è?'. Il riconoscimento tra identificazione e descrizione",2016,"n/a",0,"http://www.francoangeli.it/riviste/Scheda_Rivista.aspx?IDArticolo=56041&lingua=it&idRivista=71,http://francoangeli.it/riviste/Scheda_Rivista.aspx?IDArticolo=56041&Tipo=Articolo%20PDF&idRivista=71,http://www.francoangeli.it/riviste/Scheda_Rivista.aspx?IDArticolo=56041&lingua=en&idRivista=71,http://www.francoangeli.it/riviste/Scheda_Rivista.aspx?IDArticolo=56041&idRivista=71,http://www.francoangeli.it/Riviste/Scheda_Rivista.aspx?IDarticolo=56041&lingua=en,http://www.francoangeli.it/Area_RivistePDF/getArticolo.ashx?idArticolo=56041,http://francoangeli.it/riviste/Scheda_Rivista.aspx?IDArticolo=56041&Tipo=Articolo%20PDF&lingua=it&idRivista=71,http://www.francoangeli.it/riviste/Scheda_Riviste.asp?IDArticolo=56041,http://www.francoangeli.it/Riviste/Scheda_Rivista.aspx?IDarticolo=56041&lingua=it","Journal","n/a","Judging by the quantity and quality of recently published work, the issue of recognition seems at the forefront of many epistemological, sociological, anthropological and political debates. And yet there is not much clarity on how recognition operates, on the kind of effects which the operation we perform when recognizing bring about. The purpose of my article is to shed light on a specific (and overlooked) form of recognition, situated between the cognitive one (identification, as discussed in the analytical debate over identity criteria) and the normative one (respect and esteem, as defined by Charles Taylor and Axel Honneth), a form of recognition I will call ‘descriptive’, because its function is not so much to identify a person as to describe her features."
"n/a","NA","Robert Trent Vinson",1,0,0,0,"NA","NA","NA","NA",0,0,"'SEA KAFFIRS': 'AMERICAN NEGROES' AND THE GOSPEL OF GARVEYISM IN EARLY TWENTIETH-CENTURY CAPE TOWN*",2006,"n/a",0,"http://journals.cambridge.org/production/action/cjoGetFulltext?fulltextid=453143,http://journals.cambridge.org/article_S0021853706001824,http://cat.inist.fr/?aModele=afficheN&cpsidt=18073181,http://journals.cambridge.org/action/displayAbstract?aid=453142,http://journals.cambridge.org/download.php?file=/AFH/AFH47_02/S0021853706001824a.pdf,http://www.jstor.org/stable/4100725,http://journals.cambridge.org/abstract_S0021853706001824,http://www.africabib.org/rec.php?RID=30236594X,http://www.africabib.org/rec.php?RID=30236594X&DB=p","Journal","n/a","This article demonstrates that black British West Indians and black South Africans in post-First World War Cape Town viewed 'American Negroes' as divinely ordained liberators from South African white supremacy. These South-African based Garveyites articulated a prophetic Garveyist Christianity that provided common ideological ground for Africans and diasporic blacks through leading black South African organizations like the Universal Negro Improvement Association and African Communities League (UNIA), the African National Congress (ANC) and the Industrial and Commercial Workers Union (ICU). This study utilizes a 'homeland and diaspora' model that simultaneously offers an expansive framework for African history, redresses the relative neglect of Africa and Africans in African diaspora studies and demonstrates the impact of Garveyism on the country's interwar black freedom struggle."
"n/a","NA","Tara Rodgers",1,0,1,1,"NA","NA","NA","NA",1,1,"'What, for me, constitutes life in a sound?': Electronic Sounds as Lively and Differentiated Individuals",2011,"n/a",0,"https://muse.jhu.edu/article/450004/figure/fig01,http://muse.jhu.edu/journals/american_quarterly/summary/v063/63.3.rodgers.html,http://muse.jhu.edu/article/450004/pdf,https://muse.jhu.edu/journals/american_quarterly/v063/63.3.rodgers.html,http://muse.jhu.edu/article/450004/figure/fig01,https://muse.jhu.edu/article/450004/pdf,http://muse.jhu.edu/journals/american_quarterly/v063/63.3.rodgers.pdf,http://muse.jhu.edu/journals/american_quarterly/v063/63.3.rodgers.html,http://muse.jhu.edu/journals/aq/summary/v063/63.3.rodgers.html,https://muse.jhu.edu/journals/american_quarterly/v063/63.3.rodgers.pdf,https://muse.jhu.edu/article/450004/summary,http://muse.jhu.edu/article/450004/figure/fig02,https://muse.jhu.edu/article/450004/figure/fig02,http://muse.jhu.edu/content/crossref/journals/american_quarterly/v063/63.3.rodgers.html,https://muse.jhu.edu/article/450004,http://muse.jhu.edu/article/450004,http://muse.jhu.edu/article/450004/summary","Journal","n/a","The common metaphor of electronic sounds as lively and differentiated individuals emerged alongside developments in scientific modernism and industrial capitalism. Through widespread applications of graphical methods by scientists in the nineteenth century, sounds and living bodies became similarly legible through waveform representations: characterized by extensions into space, fluctuations over time, part-whole relations, and associated aesthetic variations. This knowledge was advanced by the German scientist Hermann von Helmholtz, whose work was central to the emerging fields of acoustics and electronic music in the United States by the early twentieth century. During a period of American history in which industrialization and urbanization engendered new patterns of encounter, audio-technical practitioners learned to distinguish individual sounds by aesthetic signifiers, like purity and deviation, that marked such social differences as race, class, and gender. I frame this history with a feminist theory of technological worlding, proposing that the “worlds of sound” made in audio-technical discourse are spaces of encounter and contestable realms of cultural politics."
"n/a","NA","Janet Muthoni Muthuki,Tolulope Adeogun",2,0,2,1,1,"NA","NA","NA",1,1,"“Only the person who wears the shoes knows where the shoes pinch”: Reworking bottom-up approach in South Sudan",2017,"n/a",0,"http://www.sciencedirect.com/science/article/pii/S0277539516301960,http://linkinghub.elsevier.com/retrieve/pii/S0277539516301960","Journal","n/a","n/a"
"n/a","NA","Karin Murris",1,0,1,1,"NA","NA","NA","NA",1,1,"#Rhodes Must Fall: A posthumanist orientation to decolonising higher education Institutions",2016,"n/a",0,"http://www.journals.ac.za/index.php/sajhe/article/view/653,http://www.journals.ac.za/index.php/sajhe/article/download/653/260,http://journals.co.za/content/high/30/3/EJC197289,http://www.journals.ac.za/index.php/sajhe/article/view/653/260,http://www.journals.ac.za/index.php/sajhe/article/view/653/0","Journal","n/a","Critical posthumanism focuses on difference, rather than identity, and queers humanist philosophy that has its roots in western metaphysics, which has had a strong humanist articulation since Descartes. Humanism centres on the autonomous adult self as sole source of knowledge production, and instils binaries that marginalise, divide and dichotomise the 'other' in age, race, ethnicity, ability and sexuality. Postcolonial theorising interrogates these power-producing binaries, but tends to retain the dominant western ontological binary between language and reality, thereby assuming that knowledge production is always mediated through the discursive and represented in human-made languages, keeping the material world at a distance. The key question is 'What is left out, forgotten or ignored by using the discursive apparatus of the social sciences only?'.#N#Using Karen Barad's reading of quantum physics I propose a radically different and positive philosophical orientation towards decolonisation and a 'post'colonial future through a juxtaposition of a humanist and a posthumanist analysis of a series of photos I 'made' of the Cecil Rhodes's statue before it was removed from the University of Cape Town's campus. The question what it means to decolonise a university is not only epistemological, but also ontological and can remain radically open when we view meaning making as discursive and material, thereby doing justice to the agency of the nonhuman other."
"n/a","NA","Carrie A. Duckworth,David M. Pritchard,Jorge Caamano,Lauren Jones,Michael D. Burkitt",5,0,2,1,0,0,1,0,0,0.4,"25 Intestinal Epithelial Cell Specific Deletion of Nfkb2 Protects Against Immune Cell Derived Damage-Inducing Factors in an Enteroid and Bone Marrow Derived Dendritic Cell Co-Culture System",2015,"n/a",0,"http://www.gastrojournal.org/article/S0016-5085(15)30025-1/fulltext,http://linkinghub.elsevier.com/retrieve/pii/S0016508515300251,http://www.gastrojournal.org/article/S0016-5085(15)30025-1/abstract,http://www.gastrojournal.org.marlin-stag.literatumonline.com/article/S0016508515300251/abstract,http://www.gastrojournal.org/article/S0016508515300251/pdf,http://www.gastrojournal.org/article/S0016508515300251/abstract,http://www.gastrojournal.org.marlin-test.literatumonline.com/article/S0016508515300251/pdf,http://www.gastrojournal.org.marlin-stag.literatumonline.com/article/S0016-5085(15)30025-1/abstract,http://www.gastrojournal.org.marlin-test.literatumonline.com/article/S0016-5085(15)30025-1/abstract,https://www.sciencedirect.com/science/article/pii/S0016508515300251,http://www.gastrojournal.org.marlin-test.literatumonline.com/article/S0016508515300251/abstract,http://www.gastrojournal.org.marlin-stag.literatumonline.com/article/S0016508515300251/pdf,http://www.sciencedirect.com/science/article/pii/S0016508515300251","Journal","n/a","n/a"
"n/a","NA","Ashok K. Hemal,Ahmed Aboumohamed",2,0,0,0,0,"NA","NA","NA",0,0,"336 Intermediate-term oncologic outcomes following robot-assisted nephroureterectomy with lymph node dissection and bladder cuff excision for upper tract urothelial carcinoma management",2015,"n/a",0,"http://linkinghub.elsevier.com/retrieve/pii/S1569905615603335,http://www.sciencedirect.com/science/article/pii/S1569905615603335","Journal","n/a","n/a"
"n/a","NA","Roland Simler,Jürgen Sültenfuß,Christelle Claude,Robert C. Finkel,Adriano Mayer,Corinne Le Gal La Salle,Romain Rebeix",7,1,2,0,"NA",1,0,0,0,0.3333333333,"36Cl deposition rate reconstruction from bomb pulse until present: A study based on groundwater records",2014,"n/a",0,"https://hal-insu.archives-ouvertes.fr/hal-01336899v1,https://hal-insu.archives-ouvertes.fr/hal-01319085v1,http://www.sciencedirect.com/science/article/pii/S0883292714000936,https://hal-insu.archives-ouvertes.fr/hal-01336899,http://linkinghub.elsevier.com/retrieve/pii/S0883292714000936,https://hal-insu.archives-ouvertes.fr/hal-01319085,http://www.researchgate.net/profile/Romain_Rebeix/publication/262384788_36Cl_deposition_rate_reconstruction_from_bomb_pulse_until_present_A_study_based_on_groundwater_records/links/54d1f7480cf28959aa7bda8c.pdf?origin=publication_detail","Journal","n/a","The radioactive isotope 36 Cl, with a half-life of 301 ka, is a valuable chronometer for estimation of groundwater residence time up to 2 millions of years. Aerial thermonuclear fission bomb tests, performed during the late 1950s, injected a massive amount of this isotope into the atmosphere, which exceeded the natural fallout signal. Since this bomb pulse, atmospheric 36 Cl deposition tends to return to natural fallout rate. The monitoring of this attenuation can provide a good opportunity to extend the use of this chro-nometer to shorter time spans. Venice's lagoon alimentation zone shows groundwaters with residence times distributed over last fifty years. This permits the estimation of a continuous 36 Cl deposition curve, free from latitudinal and seasonal variations of the signal. Three old groundwater samples, with residence times comprised in the range A900 to A8000 BP, allow the estimation of a mean natural deposition of 49 at m A2 s A1 and are in good agreement with 36 Cl fallout observed for the last 40,000 years by (Plummer et al., 1997). For the bomb pulse period, a fallout of 5300 at m A2 s A1 was calculated. This was followed by a strong attenuation period, taking place until the 1980s, during which the fallout reached values ranging between 167 and 354 at m A2 s A1. The attenuation reached then a plateau: it experienced a slower lowering until the actual deposition, with fallout values calculated between 124 and 252 at m A2 s A1. This persistence of high deposition rate was classically attributed to biological and atmo-spherical recycling processes or underestimation of the natural atmospheric production of the 36 Cl. Additional source of 36 Cl production has been envisaged through the activation of chlorine radicals from stratospherical CFCs, leading to a 36 Cl production rate comparable with that of Ar spallation from the first approximation. Lastly, the latitudinal factor of the attenuation of the fallout rate is discussed and the impact of the jet streams is proposed as an explanation for the discrepancies in the attenuation rate."
"n/a","NA","Alexander A. Oraevsky,Mark A. Anastasio,Fatima Anis,Dmitri A. Tsyboulski,Vyacheslav Nadvoretskiy,Richard Su,Travis Hernandez,Andre Conjusteau,Sergey A. Ermilov",9,2,1,0,0,1,0,"NA","NA",0.1428571429,"3D laser optoacoustic ultrasonic imaging system for preclinical research",2013,"n/a",0,"http://proceedings.spiedigitallibrary.org/proceeding.aspx?doi=10.1117/12.2008811,http://www.researchgate.net/profile/Alexander_Oraevsky2/publication/258811804_3D_laser_optoacoustic_ultrasonic_imaging_system_for_preclinical_research/links/0deec52a9e8ab8dd91000000.pdf?disableCoverPage=true,http://proceedings.spiedigitallibrary.org/proceeding.aspx?articleid=1660833,http://proceedings.spiedigitallibrary.org/data/Conferences/SPIEP/73108/85810N.pdf","Conference","n/a","In this work, we introduce a novel three-dimensional imaging system for in vivo high-resolution anatomical and functional whole-body visualization of small animal models developed for preclinical or other type of biomedical research. The system (LOUIS-3DM) combines a multi-wavelength optoacoustic and ultrawide-band laser ultrasound tomographies to obtain coregistered maps of tissue optical absorption and acoustic properties, displayed within the skin outline of the studied animal. The most promising applications of the LOUIS-3DM include 3D angiography, cancer research, and longitudinal studies of biological distribution of optoacoustic contrast agents (carbon nanotubes, metal plasmonic nanoparticles, etc.). © (2013) COPYRIGHT Society of Photo-Optical Instrumentation Engineers (SPIE). Downloading of the abstract is permitted for personal use only."
"n/a","NA","Jianhua Gong,Jinjin Zhang,Weixing Wang",3,3,"NA","NA","NA","NA","NA","NA","NA","NA","3D modeling of terrace in the Loess Plateau",2008,"n/a",0,"http://cat.inist.fr/?aModele=afficheN&cpsidt=21335687,http://proceedings.spiedigitallibrary.org/proceeding.aspx?articleid=802336,http://www.irgrid.ac.cn/handle/1471x/906001,http://proceedings.spiedigitallibrary.org/proceeding.aspx?doi=10.1117/12.812662,http://proceedings.spiedigitallibrary.org/data/Conferences/SPIEP/15371/71433J_1.pdf","Conference","n/a","With the development of 3DGIS and virtual geographic environments, it is important and necessary to represent terrain in a more vivid form but keep geographic information precise too. At present, there is less study on the 3D representation of micro-landform in comparison with large scale 3D modeling of terrain. Regarding the building of a simulation environment that reflects the real situation of the Loess Plateau, it's necessary to consider the features of micro-landform. This paper aims to explore the way of building 3D model of terrace in the Loess Plateau, which is a typical landscape in the region. According to the characteristics of terrace, level terrace, the most common type, is considered as a modeling object and a new method of feature based TIN (Triangular Irregular Network) modeling is put forward. Two key techniques regarding the method are terraces' feature extracting and the obtaining of object's elevation of points in each feature line to make TIN interpolation."
"n/a","NA","N. Banthia",1,1,"NA","NA","NA","NA","NA","NA","NA","NA","3rd International Conference on Concrete under Severe Conditions of Environment and Loading (CONSEC'01) Vancouver, BC, June 18–20, 2001",2002,"n/a",0,"http://linkinghub.elsevier.com/retrieve/pii/S0958946501000804,http://www.sciencedirect.com/science/article/pii/S0958946501000804","Journal","n/a","n/a"
"n/a","NA","Gregory P. Victorino,Brian Curran,Michael W. Cripps,Javid Sadjadi,Beth Ann Cureton,Alexander Q. Ereso",6,0,1,0,0,0,0,1,0,0.1666666667,"74. Lipoxins: Endogenous Brakes “During Inflammation”",2008,"n/a",0,"http://linkinghub.elsevier.com/retrieve/pii/S0022480407017672,http://www.sciencedirect.com/science/article/pii/S0022480407017672","Journal","n/a","n/a"
"n/a","NA","Peter D. Higgins,Uri Ladabaum,Fernando Velayos,Akbar K. Waljee,Joel H. Rubenstein",5,0,0,0,0,0,0,0,0,0,"796 Cost-Effectiveness of Surveillance for Ulcerative Colitis-Associated Colorectal Cancer in the Setting of 5-ASA Maintenance Therapy",2008,"n/a",0,"http://www.sciencedirect.com/science/article/pii/S0016508508605211,http://www.gastrojournal.org/article/S0016508508605211/pdf,http://www.gastrojournal.org/article/S0016-5085(08)60521-1/fulltext,http://linkinghub.elsevier.com/retrieve/pii/S0016508508605211,http://www.gastrojournal.org/article/S0016-5085(08)60521-1/abstract,http://www.gastrojournal.org/article/S0016508508605211/abstract","Journal","n/a","n/a"
"n/a","NA","W.F.J. Feitz,Paul J. Geutjes,T.H. van Kuppevelt,Willeke F. Daamen,Egbert Oosterwijk,A.J. Crevels,T.M. Tiemessen,Alex J. Eggink,R.M.H. Wijnen,B.B.M. Kortmann,L.A.J. Roelofs",11,7,0,"NA",0,0,"NA",0,"NA",0,"806 Primary closure compared to bladder augmentation with a collagen scaffold in a model for bladder exstrophy",2012,"n/a",0,"http://linkinghub.elsevier.com/retrieve/pii/S1569905612608033,http://www.sciencedirect.com/science/article/pii/S1569905612608033","Journal","n/a","n/a"
"n/a","NA","Hideo Eguchi,Yuji Honda,Kenichi Ishii,Hideyuki Hagiwara",4,1,0,0,0,0,"NA","NA","NA",0,"A CASE OF INTERNAL HERNIA THROUGH AN ABNORMAL DEFECT ON THE RIGHT BROAD LIGAMENT OF THE UTERUS",2004,"n/a",0,"http://joi.jlc.jst.go.jp/JST.Journalarchive/ringe1998/65.2222?from=CrossRef,https://www.jstage.jst.go.jp/article/ringe1998/65/8/65_8_2222/_article/-char/ja/,https://www.jstage.jst.go.jp/article/ringe1998/65/8/65_8_2222/_pdf,https://www.jstage.jst.go.jp/article/ringe1998/65/8/65_8_2222/_article,http://www.jlc.jst.go.jp/JST.Journalarchive/ringe1998/65.2222?from=NBDC","Journal","n/a","n/a"
"n/a","NA","Bharat Veer Manchanda",1,0,0,0,"NA","NA","NA","NA",0,0,"A Case Report of Juvenile Male with Inflammatory Bowel Disease with Grade I Hemorrhoids with Enteropathic Arthritis.",2017,"n/a",0,"http://www.iosrjournals.org/iosr-jdms/papers/Vol16-issue3/Version-4/J1603043334.pdf","Journal","n/a","n/a"
